Player Name , Team ,rush_att ,rush_att High ,rush_att Low ,rush_yds ,rush_yds High ,rush_yds Low ,rush_tds ,rush_tds High ,rush_tds Low ,rec_att ,rec_att High ,rec_att Low ,rec_yds ,rec_yds High ,rec_yds Low ,rec_tds ,rec_tds High ,rec_tds Low ,fumbles ,fumbles High ,fumbles Low ,fpts ,fpts High ,fpts Low 
Doug Martin,TB,276.8,296,254,"1,189.80","1,261.00","1,145.00",8,9,7,35.4,43,29,267.9,317,200,1.5,2,1,2,2,2,198.8,215.2,178.7
Alfred Morris,WAS,269.3,279,260,"1,292.30","1,344.00","1,222.00",9.3,10,9,13.2,22,8,101.6,178,62,0.3,1,0,2.5,3,2,192,212.2,183.6
Zac Stacy,STL,289.5,311,270,"1,211.70","1,311.00","1,159.00",8.6,10,8,28.8,33,21,183.7,232,127,0.8,1,0,2,2,2,191.9,204.3,181.7
Andre Ellington,ARI,195.2,216,166,973.6,"1,046.00",867,4.3,5,3,52.1,63,46,459.8,568,387,2.2,3,2,1.5,2,1,179.3,196,168.4
Bishop Sankey,TEN,252.7,272,214,"1,091.10","1,202.00",857,5.9,7,5,37.6,45,30,291,354,220,1.2,2,1,2,2,2,176.8,193.6,149.7
Toby Gerhart,JAC,252.4,268,238,"1,068.10","1,182.00",876,6.9,9,6,34.2,49,22,248.4,385,167,1,2,0,1.5,2,1,176.1,218.4,141.2
Ryan Mathews,SD,256.7,267,230,"1,145.20","1,185.00","1,065.00",6.6,7,5,22.4,28,19,165.8,191,133,0.6,1,0,2,2,2,170.3,179.8,160
Reggie Bush,DET,189.4,205,152,887.5,"1,008.00",667,3.9,5,3,48.4,51,43,430,498,352,2.8,3,2,2.5,3,2,167,184,144.6
C.J. Spiller,BUF,207.1,218,191,"1,025.90","1,117.00",956,5.5,6,5,37.4,42,30,279.1,392,185,1.1,2,0,2.5,3,2,165.1,186.9,153
Ray Rice,BAL,203.4,227,188,868.2,976,810,6,6,6,48.2,50,44,361.2,387,306,1.5,2,1,2,2,2,163.9,184.3,154.5
Frank Gore,SF,241.3,259,227,"1,062.50","1,123.00",949,7.7,8,7,17.2,23,15,138.3,179,122,0,0,0,1.5,2,1,163.3,174.8,147.1
Joique Bell,DET,203.1,222,183,867.5,"1,022.00",737,6.3,7,6,43,48,40,361.3,417,335,1.2,2,1,2.5,3,2,162.9,173,153.2
Trent Richardson,IND,246.5,272,211,941.5,"1,003.00",826,6.3,7,6,41.4,50,28,312.8,377,217,0.7,1,0,3,3,3,161.4,177.4,140.3
Chris Johnson,NYJ,229.1,265,201,956.1,"1,089.00",802,5.3,7,4,38,44,31,291.4,330,231,1.4,2,1,2.5,3,2,160,181.9,147.1
Rashad Jennings,NYG,214.9,220,211,935.4,969,877,6.3,8,5,35.8,40,31,263.6,314,218,1,2,0,2,2,2,159.7,188.3,143.3
Shane Vereen,NE,124.4,143,95,563.7,644,436,2.9,4,2,66.1,73,56,605.2,687,534,4.1,5,3,1,2,0,156.9,180.6,145.9
Ben Tate,CLE,231.5,265,201,"1,006.30","1,154.00",845,6.6,7,5,27.3,37,20,184.7,288,106,0.2,1,0,3,4,2,153.9,180.9,138.9
Stevan Ridley,NE,231.8,255,200,"1,014.10","1,141.00",878,8.3,9,8,8.2,9,8,57.3,60,54,0,0,0,2,2,2,152.9,170,141
Steven Jackson,ATL,197.1,233,162,819.4,"1,033.00",637,5.9,7,4,31.1,43,22,206.9,275,127,1,1,1,0.5,1,0,143,166.5,124.4
Pierre Thomas,NO,140.1,163,98,563.9,640,380,3.9,5,2,65.9,90,41,454.1,612,265,2.9,5,2,1,1,1,140.6,155.3,130.5
Maurice Jones-Drew,OAK,197.9,235,134,780.7,966,524,4.9,6,4,34.5,36,33,252.2,264,240,0.7,1,0,1,1,1,134.9,151,120.4
Fred Jackson,BUF,159.9,188,127,681.4,802,563,5.4,7,4,35.7,37,33,286.6,334,229,0.7,1,0,1.5,2,1,130.4,145.6,114.9
Knowshon Moreno,MIA,178.3,205,158,711.2,835,631,4.2,5,4,34.7,42,31,261,317,223,1,1,1,2,2,2,124.4,141.2,111.4
DeAngelo Williams,CAR,185.7,206,175,798.3,866,741,3.4,4,2,24.8,26,23,211.1,235,176,1,1,1,1.5,2,1,124.3,132.2,120.4
Danny Woodhead,SD,87.3,102,75,361.3,422,311,1.6,2,1,62.1,71,54,532.7,589,488,4,5,3,1,2,0,121,127.9,115.1
Khiry Robinson,NO,168.7,184,145,750.3,845,606,5.9,7,4,9.5,12,4,64.4,87,34,0.3,1,0,0,0,0,118.7,141,100.7
Lamar Miller,MIA,160.7,182,115,712.1,802,470,4,5,3,26.3,31,21,195.6,244,156,0.3,1,0,1.5,2,1,113.6,130.6,84.1
Terrance West,CLE,144,164,104,638.9,744,395,4.9,6,4,21.2,31,10,162.6,288,80,0.3,1,0,0,0,0,111.4,145.2,71.5
Darren Sproles,PHI,62.4,70,40,267.3,299,176,1.3,2,1,69.5,91,57,571.2,745,455,3.3,4,2,1,2,0,109.5,122.1,97.9
Christopher Ivory,NYJ,154.9,182,141,703.4,877,545,5.3,7,4,3.6,6,2,20.4,37,11,0,0,0,1.5,2,1,101.2,126.8,78.6
Jeremy Hill,CIN,133.8,154,112,589.3,711,509,6,7,5,7.8,12,4,59,111,23,0,0,0,0.5,1,0,99.8,124.2,83.3
Bernard Pierce,BAL,143.2,170,132,605.4,711,526,4,5,3,19.1,25,13,121.1,157,97,0.3,1,0,0,0,0,98.5,119.3,82.8
Devonta Freeman,ATL,99.2,123,58,477.5,633,276,2.6,3,2,33.5,54,20,272.7,488,121,0.9,2,0,0.5,1,0,95,142.1,57.2
Darren McFadden,OAK,127.2,150,108,525.5,629,415,3.9,5,3,25.7,33,17,183.8,243,123,0.6,1,0,2,2,2,93.9,114,80.6
Tre Mason,STL,108.6,136,61,515.1,647,285,2.9,4,1,23.7,48,4,188.7,411,29,0.6,2,0,1,1,1,89.4,129.5,37.4
Stepfan Taylor,ARI,127.7,174,65,515.3,755,211,4.4,8,2,11.8,15,11,87.5,102,70,0,0,0,0.5,1,0,85.7,133.2,40.1
Christine Michael,SEA,114.7,177,60,545.7,851,276,3.8,6,2,7.9,11,2,64.4,78,14,0.3,1,0,0,0,0,85.6,134.9,41
LeGarrette Blount,PIT,125.2,165,94,538.4,787,391,4.9,6,4,6.7,11,2,47.9,87,11,0,0,0,1.5,2,1,85,119.4,64.2
Shonn Greene,TEN,121.1,140,105,487.3,547,406,4.4,5,3,10.4,14,6,74.9,112,41,0,0,0,0.5,1,0,81.6,95.9,61.7
Dexter McCluster,TEN,69,77,61,295.5,306,285,0.5,1,0,44,44,44,418,476,360,1.5,2,1,1.5,2,1,80.4,84.1,76.6
Jonathan Stewart,CAR,106.9,139,76,449.5,585,302,2.6,4,1,19.4,23,13,147,176,94,0.8,1,0,1,1,1,78.1,96.7,57.6
David Wilson,NYG,101.9,121,74,466.9,565,349,2.4,3,2,18.7,25,12,151.6,211,91,0.3,1,0,1,1,1,76.1,93.6,65.7
Mike Tolbert,CAR,80.9,92,74,306,341,273,3.7,4,3,24.5,29,21,162.6,193,137,1,1,1,0,0,0,75.1,81.4,66
Knile Davis,KC,95.4,103,89,437.9,533,362,3.5,4,3,13.4,15,12,105.8,126,71,0,0,0,0.5,1,0,74.4,86.5,67.3
Roy Helu,WAS,72.3,82,53,305.5,344,216,1.3,2,0,39.2,52,29,305.7,395,225,0.9,3,0,1,2,0,72.3,91.1,57.3
Andre Brown,HOU,98.2,115,86,405.6,487,326,4.1,5,3,14.1,21,6,89.6,154,39,0,0,0,1,2,0,72.1,90.1,64.3
C.J. Anderson,DEN,100.6,127,87,429.4,511,377,2.7,4,2,14.9,20,10,105.6,115,87,0.3,1,0,0.5,1,0,70.5,79.8,62.4
Lance Dunbar,DAL,74.7,103,50,330,445,239,2.2,3,1,21.9,36,15,175.5,299,88,0.7,1,0,0,0,0,68,98.4,50.7
Carlos Hyde,SF,88,111,65,400.3,486,285,3.6,6,1,6.1,12,2,48.2,81,13,0.3,1,0,0.5,1,0,67.3,93.7,40.2
Charles Sims,TB,70,108,23,302.2,464,97,1.5,3,0,24.2,38,1,189,311,4,1.6,2,0,0.5,1,0,66.7,102.5,10.1
James Starks,GB,95.5,115,82,423.6,554,345,2.5,3,2,12.4,15,9,99.4,132,70,0,0,0,1,1,1,65.3,84.6,55
Ahmad Bradshaw,IND,89.5,122,44,383.6,553,183,2.6,4,2,16.1,25,10,124.7,192,61,0.3,1,0,1.5,2,1,65.2,100.5,36.4
Donald Brown,SD,79.8,98,62,352.5,445,270,2,2,2,16.3,22,10,131.9,184,69,0.5,1,0,0,0,0,63.4,80.9,48.7
Marcel Reece,OAK,43.3,51,38,196.7,229,167,1.6,3,1,31.5,42,21,284.3,398,206,0.7,2,0,0,0,0,61.9,72.3,55.3
Andre Williams,NYG,80.2,127,38,371,617,197,3.6,5,1,5.9,10,0,47.4,87,3,0,0,0,1,2,0,61.4,100.4,26
Mark Ingram,NO,95.1,139,62,394.8,531,255,2.8,4,2,10,20,4,66.5,131,27,0,0,0,1,1,1,60.9,79.7,38.2
Jacquizz Rodgers,ATL,63.7,73,37,254.1,303,145,0.5,1,0,32.7,40,23,235.1,287,171,1.3,2,1,1,1,1,57.7,67.3,49.2
Travaris Cadet,NO,36,54,6,174.6,282,25,0.8,1,0,30,41,12,230.5,329,79,1.9,3,0,0,0,0,56.3,73.6,10.4
Ka'Deem Carey,CHI,66.9,78,55,291.3,324,269,1.8,3,1,17.6,23,9,138.3,198,57,0.5,1,0,0.5,1,0,55.8,68.7,39.7
James White,NE,58.7,90,0,254.1,422,0,2.4,4,0,12.9,27,0,109.2,244,0,0.6,2,0,0,0,0,54.3,102.6,0
Latavius Murray,OAK,67.6,89,56,292.8,403,217,2.5,4,1,10.8,15,5,82.4,115,34,0.3,1,0,0,0,0,54,65,37.1
Brandon Bolden,NE,66.4,87,47,307.6,412,196,2.4,4,1,13.6,20,7,88.3,124,44,0,0,0,0,0,0,54,74,30
Bilal Powell,NYJ,62.2,71,56,254,282,232,1.2,2,0,21.5,27,14,160.7,224,101,0.3,1,0,0,0,0,50.5,59.8,41.1
Kendall Hunter,SF,74.2,82,64,343.6,395,300,1.9,3,1,8.6,13,7,67,88,57,0,0,0,1.5,2,1,49.5,66.3,44.8
Jordan Todman,JAC,69.3,92,28,286.4,402,112,1,2,0,18.1,29,6,144,224,46,0.5,1,0,1.5,2,1,49,73.4,15.8
Jerick McKinnon,MIN,45.7,67,20,204.4,308,86,1.1,2,0,22.6,28,19,177.7,224,113,0.8,2,0,0.5,1,0,48.6,69.5,19.9
Chris Polk,PHI,65.5,87,47,296.6,381,208,2.1,3,1,8.5,15,0,63.2,121,0,0,0,0,0.5,1,0,47.6,66.4,33.8
Denard Robinson,JAC,56.4,75,39,257.8,345,155,1.5,2,1,13.7,25,3,115.8,195,18,0.5,1,0,1.5,2,1,46.4,72,23.3
BenJarvus Green-Ellis,CIN,76.5,91,62,293,341,250,2.5,3,2,3.8,5,2,24.9,31,14,0,0,0,0.5,1,0,45.8,54.4,38.4
Ronnie Hillman,DEN,59.6,75,45,256.7,353,176,1,2,0,16.8,32,8,128.3,212,56,0.5,1,0,1.5,3,0,44.5,66.9,23.2
Mike James,TB,67.7,87,61,298.7,380,269,1.2,2,1,8.8,14,3,59.4,112,14,0,0,0,0.5,1,0,42,51.4,34.7
Daniel Thomas,MIA,63.6,73,52,246.6,290,187,1.8,2,1,10.5,16,6,72.9,111,42,0,0,0,0.5,1,0,41.5,45.4,30.9
Vick Ballard,IND,60.3,77,25,249.5,311,98,1.4,2,0,10.4,17,2,73.8,114,14,0,0,0,0.5,1,0,39.7,49.2,11.2
Bryce Brown,BUF,67.1,87,54,298.9,388,247,1.2,2,0,5.9,12,1,43.2,92,11,0,0,0,2,2,2,37.4,56,22.7
Marcus Lattimore,SF,47.5,73,11,220.4,356,48,1.7,3,0,5.3,11,0,43.9,95,0,0,0,0,0,0,0,36.6,57,4.8
Isaiah Crowell,CLE,58.1,77,39,257.4,377,149,0.6,1,0,10.3,15,5,67.6,98,37,0,0,0,0,0,0,36.3,53.5,24.7
Jonathan Dwyer,ARI,64.3,110,24,261.5,448,96,1.1,3,0,5.9,11,2,43.1,87,10,0,0,0,0.5,1,0,36.1,68.7,16.7
Lorenzo Taliaferro,BAL,55.6,87,26,262.1,422,123,1,1,1,6,8,4,36.6,53,20,0,0,0,0,0,0,35.9,53.5,22
Matt Asiata,MIN,52.1,76,31,204.6,311,108,2,3,1,4.9,9,2,31.4,65,8,0,0,0,0,0,0,35.6,55.6,17.6
Lache Seastrunk,WAS,46.5,72,27,213.6,303,151,1.4,2,1,5.4,9,2,54.5,101,17,0,0,0,0,0,0,35.1,52.4,22.8
Robert Turbin,SEA,49.1,72,26,212.3,341,116,0.8,2,0,11.6,18,7,99.9,169,45,0,0,0,0.5,1,0,35,61,21.5
Dri Archer,PIT,20.9,34,0,102.7,154,0,0.6,1,0,20,27,0,163.2,232,0,0.9,2,0,0.5,1,0,34.6,51.1,0
Darrel Young,WAS,13.5,15,12,53,56,50,2,2,2,8.5,10,7,92,102,82,0.5,1,0,0,0,0,29.5,33.8,25.2
Alfred Blue,HOU,38.5,45,32,174.5,214,135,1,1,1,8.5,10,7,60.5,66,55,0,0,0,0,0,0,29.5,34,25
Benny Cunningham,STL,47,69,25,210.4,319,121,0.7,1,0,5.7,12,2,44.5,84,15,0,0,0,1,1,1,27.7,46.3,14.8
DuJuan Harris,GB,44.3,63,0,187.5,267,0,0.8,1,0,6,13,0,40.9,87,0,0,0,0,0,0,0,27.3,41.4,0
Justin Forsett,BAL,49.1,66,0,212.6,284,0,0.4,1,0,4.9,12,0,30,76,0,0,0,0,0,0,0,26.5,42,0
Jackie Battle,TEN,45.5,77,14,182.5,311,54,1,2,0,2.5,5,0,19.5,39,0,0,0,0,0,0,0,26.2,47,5.4
Bobby Rainey,TB,38,56,26,157.1,236,98,0.8,2,0,7.7,12,3,51.3,87,16,0,0,0,0,0,0,25.6,39.5,12.9
Anthony Dixon,BUF,21,31,11,86,135,37,2.5,3,2,2,2,2,16.5,21,12,0,0,0,0,0,0,25.3,27.6,22.9
Joseph Randle,DAL,41.5,48,26,167.6,211,104,0.5,1,0,8,13,5,51.4,89,25,0,0,0,0,0,0,24.9,31.7,18
Peyton Hillis,NYG,34.6,54,16,131.5,224,53,0.8,2,0,8.8,17,0,64.7,134,0,0,0,0,0.5,1,0,23.4,45.8,8.2
De'Anthony Thomas,KC,10.8,19,2,38.7,62,6,0.3,1,0,18.8,32,11,142.1,244,87,0.5,1,0,0,0,0,22.9,34.7,9.4
John Kuhn,GB,15.4,24,9,53.8,86,26,1.1,2,0,10.3,16,6,72.6,116,41,0.4,1,0,0,0,0,21.6,38.2,8.1
Chris Ogbonnaya,CLE,22.5,41,0,91.5,168,0,0,0,0,16.5,33,0,115.3,244,0,0.3,1,0,1,1,1,20.5,45.2,0
Theo Riddick,DET,31.3,51,15,119.6,180,67,0.6,1,0,5.9,10,2,40.6,65,8,0,0,0,0,0,0,19.8,23.3,18.4
Jed Collins,DET,7,11,3,43.5,79,8,1,1,1,10,11,9,56.5,78,35,0.5,1,0,0,0,0,19,27.7,10.3
Anthony Sherman,KC,6.5,11,2,20.5,39,2,0.5,1,0,13,14,12,106,109,103,0.5,1,0,0,0,0,18.7,20.2,17.1
Dennis Johnson,HOU,30.8,35,28,126.8,145,113,0.2,1,0,6.8,11,2,46.4,77,11,0,0,0,0,0,0,18.5,25.9,12.4
Frank Summers,BUF,12,15,9,44.5,54,35,0.5,1,0,9,9,9,72.5,76,69,0.5,1,0,0,0,0,17.7,25,10.4
Derrick Coleman,SEA,5.5,10,1,20.5,38,3,0.5,1,0,9.5,12,7,66,78,54,1,1,1,0,0,0,17.7,23.6,11.7
Mikel Leshoure,DET,22.8,44,0,100.3,198,0,0.8,2,0,6.1,15,0,45.5,114,0,0,0,0,0.8,1,0.5,17.6,41.2,0
Shaun Draughn,CHI,21.5,23,20,91.5,98,85,0.5,1,0,6,6,6,48,53,43,0,0,0,0,0,0,17,20.1,13.8
Storm Johnson,JAC,24.4,44,0,105.4,189,0,0.4,1,0,5.3,12,0,38.6,88,0,0,0,0,0,0,0,16.7,33.7,0
Bruce Miller,SF,6,6,6,21.5,22,21,0.5,1,0,13,17,9,107.5,154,61,0,0,0,0,0,0,15.9,23.5,8.3
Erik Lorig,NO,5,5,5,19.5,22,17,0,0,0,10.5,12,9,75.5,87,64,1,1,1,0,0,0,15.5,16.9,14.1
Michael Ford,CHI,21.5,25,18,94,113,75,0.5,1,0,3,3,3,24,28,20,0,0,0,0,0,0,14.8,20.1,9.5
Will Johnson,PIT,2,4,0,7.5,15,0,0,0,0,11,14,8,70,93,47,1,1,1,0,0,0,13.8,16.8,10.7
Dion Lewis,CLE,20.6,33,0,94.1,155,0,0.4,1,0,2.3,4,0,18.3,34,0,0,0,0,0,0,0,13.5,24.9,0
Cyrus Gray,KC,12,18,6,55,84,26,0.5,1,0,7,11,3,48,74,22,0,0,0,0,0,0,13.3,21.8,4.8
Tommy Bohanon,NYJ,8,14,2,29,51,7,0.5,1,0,10.5,12,9,70.5,87,54,0,0,0,0,0,0,13,19.8,6.1
Kyle Juszczyk,BAL,11.8,14,10,42.8,45,39,0.4,1,0,6.4,9,3,40.3,53,17,0.4,1,0,0,0,0,12.8,15.2,6.2
Cedric Peerman,CIN,15,15,15,70,73,67,0,0,0,7,10,4,56.5,79,34,0,0,0,0,0,0,12.7,15.2,10.1
Chris Thompson,WAS,13.5,18,9,65.3,87,43.5,0,0,0,6,8,4,57.8,77,38.5,0,0,0,0,0,0,12.3,16.4,8.2
Daryl Richardson,NYJ,15.8,27,0,67.4,115,0,0,0,0,7.5,15,0,62.7,132,0,0,0,0,0.5,1,0,12,22.7,0
Stanley Havili,IND,6.5,10,3,24,39,9,0,0,0,13,15,11,94,112,76,0,0,0,0,0,0,11.8,15.1,8.5
Kenjon Barner,CAR,18.8,26,8,81,113,31,0,0,0,5.4,11,3,36.9,71,22,0,0,0,0,0,0,11.8,17.9,5.3
Ryan Williams,DAL,26,42,15,109,176,63,0,0,0,3,6,0,23.5,47,0,0,0,0,0.8,1,0.5,11.8,20.3,6.3
Mike Gillislee,MIA,23,51,0,95.2,206,0,0,0,0,2.2,3,0,16.1,26,0,0,0,0,0,0,0,11.1,22.1,0
Chris Rainey,IND,11.3,15,7.5,50.3,67,33.5,0,0,0,6.8,9,4.5,59.3,79,39.5,0,0,0,0,0,0,11,14.6,7.3
Henry Hynoski,NYG,4,7,1,14.5,27,2,0.5,1,0,8.5,11,6,61.5,88,35,0,0,0,0,0,0,10.6,17.5,3.7
Marion Grice,SD,11,22,0,51,102,0,0.5,1,0,3,6,0,22,44,0,0,0,0,0,0,0,10.3,20.6,0
Edwin Baker,CLE,14.9,19,12,64.1,75,55,0.3,1,0,3.4,6,0,23.1,46,0,0,0,0,0,0,0,10.2,18.1,5.5
Jorvorskie Lane,TB,8.5,12,5,28.5,44,13,0.5,1,0,5.5,7,4,38.5,53,24,0,0,0,0,0,0,9.7,15.7,3.7
Antone Smith,ATL,13.5,22,5,57.5,91,24,0.5,1,0,1,2,0,8.5,17,0,0,0,0,0,0,0,9.6,15.1,4.1
,,2.3,3,1.5,10.5,14,7,0.8,1,0.5,3,4,2,40.5,54,27,0,0,0,0,0,0,9.6,12.8,6.4
Joe McKnight,KC,16.5,22,11,69,92,46,0,0,0,4.5,6,3,41.3,55,27.5,0,0,0,0.8,1,0.5,9.5,12.7,6.4
Jerome Felton,MIN,5,8,2,16.5,27,6,0.5,1,0,6,6,6,47.5,49,46,0,0,0,0,0,0,9.4,13.3,5.5
Tony Fiammetta,CHI,5.5,11,0,21.5,43,0,0.5,1,0,5,6,4,39.5,44,35,0,0,0,0,0,0,9.1,13.8,4.4
Jeremy Stewart,OAK,11.3,15,7.5,50.3,67,33.5,0,0,0,5.3,7,3.5,38.3,51,25.5,0,0,0,0,0,0,8.9,11.8,5.9
Tyler Gaffney,CAR,12,24,0,56,112,0,0,0,0,4,8,0,32,64,0,0,0,0,0,0,0,8.8,17.6,0
Leon Washington,TEN,6,7,5,29.5,34,25,0,0,0,5.5,8,3,51.5,76,27,0,0,0,0,0,0,8.1,11,5.2
James Develin,NE,4.5,7,2,16,27,5,0.5,1,0,4,7,1,29,47,11,0,0,0,0,0,0,7.5,13.4,1.6
Jalen Parmele,ARI,6,8,4,31.5,42,21,0,0,0,5.3,7,3.5,40.5,54,27,0,0,0,0,0,0,7.2,9.6,4.8
Tyler Clutts,DAL,3,6,0,11.5,23,0,0.5,1,0,4.5,6,3,26.5,43,10,0,0,0,0,0,0,6.8,12.6,1
Alvester Alexander,PIT,11.3,15,7.5,48.8,65,32.5,0,0,0,3,4,2,16.5,22,11,0,0,0,0,0,0,6.5,8.7,4.4
Patrick DiMarco,ATL,3,4,2,11.5,17,6,0,0,0,8,9,7,51,54,48,0,0,0,0,0,0,6.3,7.1,5.4
Collin Mooney,TEN,3.5,6,1,12,22,2,0.5,1,0,3.5,4,3,20,28,12,0,0,0,0,0,0,6.2,11,1.4
Johnathan Franklin,GB,8,16,0,42,84,0,0,0,0,2.5,5,0,17,34,0,0,0,0,0,0,0,5.9,11.8,0
Jonathan Grimes,HOU,5.3,7,3.5,24.8,33,16.5,0,0,0,3.8,5,2.5,32.3,43,21.5,0,0,0,0,0,0,5.7,7.6,3.8
Will Ta'ufo'ou,JAC,4,8,0,14,28,0,0,0,0,7.5,8,7,41.5,54,29,0,0,0,0,0,0,5.6,8.2,2.9
Evan Royster,WAS,9,12,6,38.3,51,25.5,0,0,0,2.3,3,1.5,16.5,22,11,0,0,0,0,0,0,5.5,7.3,3.7
Michael Cox,NYG,7.5,15,0,33,66,0,0,0,0,2.5,5,0,19.5,39,0,0,0,0,0,0,0,5.3,10.5,0
Isaiah Pead,STL,7.5,15,0,33.5,67,0,0,0,0,2.5,5,0,18,36,0,0,0,0,0,0,0,5.2,10.3,0
Jay Prosch,HOU,7,11,3,28,43,13,0,0,0,3,4,2,21,33,9,0,0,0,0,0,0,4.9,7.6,2.2
LaMichael James,SF,6,12,0,27.5,55,0,0,0,0,2.5,5,0,21.5,43,0,0,0,0,0,0,0,4.9,9.8,0
Miguel Maysonet,PIT,6.8,9,4.5,28.5,38,19,0,0,0,0.8,1,0.5,3,4,2,0,0,0,0,0,0,3.2,4.2,2.1
Dan Herron,IND,6,8,4,27.8,37,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.7,1.9
Robert Hughes,ARI,3.8,5,2.5,12.8,17,8.5,0,0,0,2.3,3,1.5,14.3,19,9.5,0,0,0,0,0,0,2.7,3.6,1.8
Lonnie Pryor,TB,2.3,3,1.5,6.8,9,4.5,0,0,0,3,4,2,15.8,21,10.5,0,0,0,0,0,0,2.3,3,1.5
Spencer Ware,SEA,2.3,3,1.5,7.5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0.5
Cierre Wood,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
