name,team_abbreviation,rush_attempts,rush_attempts_high,rush_attempts_low,rush_yards,rush_yards_high,rush_yards_low,rush_touchdowns,rush_touchdowns_high,rush_touchdowns_low,receiving_completions,receiving_completions_high,receiving_completions_low,receiving_yards,receiving_yards_high,receiving_yards_low,receiving_touchdowns,receiving_touchdowns_high,receiving_touchdowns_low,fumbles,fumbles_high,fumbles_low,fantasy_points,fantasy_points_high,fantasy_points_low
Cordarrelle Patterson,MIN,13.5,15,12,115.5,127,104,1,1,1,68.8,79,63,928.80,989,814,6.7,7,6,0,0,0,150.6,159.6,131.5
Wes Welker,DEN,0,0,0,0,0,0,0,0,0,82.2,98,75,989.30,1067,888,8.9,10,6,1,1,1,150.3,166.7,135.8
Roddy White,ATL,0,0,0,0,0,0,0,0,0,85.6,90,80,1089.70,1179,1004,7,7,7,0.5,1,0,150,159.9,142.4
Michael Floyd,ARI,0,0,0,0,0,0,0,0,0,76.8,82,70,1115.40,1177,1076,6.4,7,5,0,0,0,149.9,155.8,137.6
Victor Cruz,NYG,0,0,0,0,0,0,0,0,0,81.8,88,76,1079.80,1126,1031,7,7,7,1,1,1,148,154.6,143.1
Percy Harvin,SEA,20.5,24,17,113,145,81,1,1,1,74.7,94,62,917.40,1067,748,6.1,7,4,0.5,1,0,144.6,169.2,116.8
Torrey Smith,BAL,2,2,2,16.5,21,12,0,0,0,65.8,76,60,1060.00,1097,1033,6,6,6,0.5,1,0,142.7,147.8,137.3
DeSean Jackson,WAS,3.5,4,3,24,26,22,0,0,0,59.7,65,57,957.90,1031,913,7.1,8,6,0,0,0,140.8,147.7,132.2
Jeremy Maclin,PHI,0,0,0,0,0,0,0,0,0,71.4,78,63,994.90,1140,875,6.4,7,6,0.5,1,0,136.9,156,129.5
Mike Wallace,MIA,4.5,5,4,38.5,46,31,0,0,0,71.2,76,64,998.50,1044,960,5.5,6,5,0.5,1,0,135.7,136.6,131.7
Julian Edelman,NE,2,4,0,17,34,0,0,0,0,91.2,102,82,998.70,1144,931,5.9,7,5,1,2,0,135,140.4,129.1
Ty Hilton,IND,4.5,5,4,29.5,33,26,0,0,0,68.4,76,58,974.60,1095,869,5.8,6,5,0.5,1,0,134.2,148.8,122.9
Marques Colston,NO,0,0,0,0,0,0,0,0,0,76.1,81,73,971.70,1067,907,6.2,7,5,0.5,1,0,133.4,148.7,126.7
Golden Tate,DET,3,6,0,25,50,0,0,0,0,69.1,84,50,954.50,1066,685,6,7,4,1,1,1,132,146.6,92.5
Emmanuel Sanders,DEN,0.5,1,0,9.5,19,0,0,0,0,67.5,77,46,952.40,1078,635,6,8,4,0.5,1,0,131.2,150.6,87.5
Kendall Wright,TEN,0.5,1,0,4,8,0,0,0,0,87.9,91,83,1043.10,1085,1008,4.6,5,4,1,1,1,130.3,136.5,126.5
Eric Decker,NYJ,0,0,0,0,0,0,0,0,0,64.1,75,57,900.70,968,747,6.2,8,5,1,1,1,125.3,142.7,104.7
Terrance Williams,DAL,2,4,0,9.5,19,0,0,0,0,59.2,65,47,885.00,1015,695,6.2,8,4,1.5,2,1,123.7,133.5,93.5
Sammy Watkins,BUF,3.5,7,0,21,42,0,0,0,0,59.9,68,47,871.60,939,822,5.6,6,4,1,2,0,120.9,129.5,106.2
Reggie Wayne,IND,0,0,0,0,0,0,0,0,0,69.2,90,55,883.70,1108,714,4.6,6,4,0,0,0,116,134.8,95.4
Riley Cooper,PHI,0,0,0,0,0,0,0,0,0,51.6,60,46,809.50,886,698,5.6,6,5,0.5,1,0,113.6,124.6,99.8
Rueben Randle,NYG,0,0,0,0,0,0,0,0,0,57,66,43,785.00,860,675,5.7,7,4,0.5,1,0,111.7,120.2,97.5
Dwayne Bowe,KC,0,0,0,0,0,0,0,0,0,65.9,70,61,816.50,862,720,4.9,6,4,0,0,0,111.1,116.2,107.7
Mike Evans,TB,0,0,0,0,0,0,0,0,0,52.4,68,39,770.60,875,566,5.8,7,3,0.5,1,0,110.9,127.5,86.6
Tavon Austin,STL,12.5,13,12,130,139,121,1,1,1,54.1,61,46,675.90,739,524,4.3,5,3,1.5,2,1,109.4,118.1,88.5
Marvin Jones,CIN,6,7,5,50,56,44,0,0,0,58,64,47,749.10,859,554,5.3,6,4,1.5,2,1,108.7,117.9,85
Cecil Shorts,JAC,0,0,0,0,0,0,0,0,0,61.7,67,55,827.40,915,758,4.1,5,3,0,0,0,107.3,121.5,93.8
Anquan Boldin,SF,1,2,0,7,14,0,0,0,0,60,69,54,802.80,967,737,4.5,5,4,0.5,1,0,107,122.1,98.8
Kenny Stills,NO,1.5,3,0,12,24,0,0,0,0,45.4,55,34,733.40,805,563,5.3,6,4,0.5,1,0,105.3,115.7,82.7
Brandin Cooks,NO,4.5,9,0,26,52,0,0,0,0,51.9,64,31,727.60,875,477,5.4,6,4,1.5,2,1,104.8,119.5,71.7
Brian Hartline,MIA,0,0,0,0,0,0,0,0,0,68.8,74,59,922.60,989,786,2.3,5,1,1,2,0,104.1,128.9,90.6
Hakeem Nicks,IND,0,0,0,0,0,0,0,0,0,50.6,64,38,762.90,931,550,4.6,6,4,0,0,0,103.9,117.1,79
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,0,59,64,54,793.60,970,712,4.2,5,3,0.5,1,0,103.6,121,94.2
James Jones,OAK,0,0,0,0,0,0,0,0,0,58.1,67,46,746.90,876,634,4.6,6,4,0,0,0,102.3,123.6,87.4
Danny Amendola,NE,0,0,0,0,0,0,0,0,0,64.7,74,58,749.30,878,658,4.8,6,4,1,1,1,101.7,117.8,96.3
Doug Baldwin,SEA,1,2,0,7,14,0,0,0,0,53.6,58,48,733.90,835,646,4.3,5,3,0.5,1,0,98.9,113.5,84
Kelvin Benjamin,CAR,0,0,0,0,0,0,0,0,0,48.6,55,43,727.00,825,655,4.4,6,2,0.5,1,0,98.1,104.5,81.1
Jarrett Boykin,GB,0,0,0,0,0,0,0,0,0,54.1,67,48,725.30,872,641,4.4,6,4,0.5,1,0,97.9,109.2,88.1
Greg Jennings,MIN,0,0,0,0,0,0,0,0,0,60.1,73,55,716.60,832,651,4.3,5,4,0.5,1,0,96.5,107.2,87.1
Harry Douglas,ATL,0,0,0,0,0,0,0,0,0,61.8,67,56,771.80,874,657,3.3,6,1,0.5,1,0,96,110.4,77.7
Justin Hunter,TEN,0,0,0,0,0,0,0,0,0,40.4,43,33,668.10,722,511,4.6,5,4,0,0,0,94.4,101.5,75.1
Steve Smith,BAL,0,0,0,0,0,0,0,0,0,54.4,57,51,694.90,727,674,4.5,5,4,1.5,3,0,93.5,97.6,88.7
Rod Streater,OAK,1,2,0,8.5,17,0,0,0,0,51.4,60,39,713.60,843,515,4.1,5,3,2,3,1,92.8,106.1,75.5
Odell Beckham Jr.,NYG,3,3,3,18,21,15,0,0,0,43.8,47,37,668.90,705,586,4.1,5,3,1,1,1,91.3,98.5,84.1
Robert Woods,BUF,2,2,2,16,21,11,0,0,0,49.6,59,40,663.00,763,545,3.5,4,3,0.5,1,0,87.9,100.3,73.6
Andrew Hawkins,CLE,5.5,6,5,35,45,25,0,0,0,53.5,62,45,634.80,677,588,3.3,4,3,0,0,0,86.8,85.7,81.3
Jerricho Cotchery,CAR,0,0,0,0,0,0,0,0,0,48.7,59,39,634.70,699,496,3.8,4,3,1.5,2,1,83.3,88.5,73.6
Markus Wheaton,PIT,1,2,0,8.5,17,0,0,0,0,43,53,27,605.30,766,415,3.8,5,3,0.5,1,0,83.2,92.6,61.2
Chris Givens,STL,2,4,0,15.5,31,0,0,0,0,43.6,51,33,644.60,704,515,2.9,5,1,0.5,1,0,82.4,95.4,69.5
Nate Washington,TEN,0,0,0,0,0,0,0,0,0,43.4,47,39,621.10,683,574,3.1,4,2,0.5,1,0,79.7,84.3,72
Jordan Matthews,PHI,0,0,0,0,0,0,0,0,0,40.7,54,22,588.80,785,289,3.5,5,1,0.5,1,0,78.9,106.5,34.9
Marqise Lee,JAC,1,2,0,8.5,17,0,0,0,0,39.9,46,29,582.70,668,365,3.6,4,2,1,1,1,78.7,88.8,48.5
Aaron Dobson,NE,0,0,0,0,0,0,0,0,0,39.9,47,26,548.40,645,357,3.7,5,3,0,0,0,77,91.2,53.7
Donnie Avery,KC,0,0,0,0,0,0,0,0,0,42.4,45,36,584.90,654,529,2.6,3,2,0,0,0,74.2,77.4,70.9
Josh Gordon,CLE,0,0,0,0,0,0,0,0,0,32.3,50,22,521.20,809,350,4.2,7,2,1.5,2,1,74.1,118.9,47
Lance Moore,PIT,0,0,0,0,0,0,0,0,0,45.8,50,43,582.70,645,500,2.6,5,2,0,0,0,73.9,94.5,62
Jeremy Kerley,NYJ,2.5,5,0,9.5,19,0,0,0,0,44.9,51,37,577.60,616,469,2.8,3,2,1,1,1,73.5,77.4,64.9
Mike Williams,BUF,0,0,0,0,0,0,0,0,0,41.4,51,33,563.50,704,453,3,4,2,0.5,1,0,73.4,88.4,63.3
Brandon LaFell,NE,1,2,0,6,12,0,0,0,0,35.4,45,15,514.60,614,209,3.5,5,0,0.5,1,0,72.1,91.4,20.9
Andre Roberts,WAS,1.5,3,0,8.5,17,0,0,0,0,46.8,55,38,540.50,615,422,2.9,4,2,0.5,1,0,71.3,80.2,60.2
Denarius Moore,OAK,0,0,0,0,0,0,0,0,0,34.9,43,19,545.00,671,287,3.2,4,1,1.5,2,1,70.7,85.1,34.7
Dexter McCluster,TEN,36.5,43,30,163,177,149,0,0,0,45.5,53,38,415.50,476,355,2,2,2,0,0,0,69.9,77.3,62.4
Ted Ginn Jr.,ARI,4,5,3,24.5,28,21,0,0,0,32.8,41,27,476.50,584,357,3.1,4,2,0,0,0,68.7,82.4,49.8
Allen Robinson,JAC,0,0,0,0,0,0,0,0,0,33.8,48,0,500.30,690,0,3.4,5,0,1,1,1,68.3,97,0
Santonio Holmes,FA,0,0,0,0,0,0,0,0,0,38,38,38,497.00,497,497,3,3,3,0,0,0,67.7,67.7,67.7
Steve Johnson,SF,0,0,0,0,0,0,0,0,0,41.7,48,30,530.00,655,386,2.7,4,2,1,1,1,67.2,83,50.6
Nate Burleson,CLE,1,2,0,5,10,0,0,0,0,40.7,44,35,491.80,575,390,2.9,4,2,0,0,0,67.1,75.5,63.4
Kenny Britt,STL,0,0,0,0,0,0,0,0,0,34.4,42,9,498.70,642,119,2.8,4,1,0.5,1,0,65.7,83.1,17.9
Miles Austin,CLE,0,0,0,0,0,0,0,0,0,37.4,48,22,493.80,645,321,2.8,3,2,0.5,1,0,65.2,82.5,44.1
Jerome Simpson,MIN,0,0,0,0,0,0,0,0,0,36.3,46,20,513.50,611,287,2.3,3,1,1,2,0,63.2,75.2,34.7
Brandon Gibson,MIA,0,0,0,0,0,0,0,0,0,39.5,44,26,472.60,553,350,2.4,3,2,0,0,0,61.5,67.3,47
Davante Adams,GB,0,0,0,0,0,0,0,0,0,28.1,37,8,416.70,588,140,3.6,5,1,1,1,1,61.3,86.8,20
Malcom Floyd,SD,0,0,0,0,0,0,0,0,0,29.9,41,0,423.40,622,0,2.9,4,0,0.5,1,0,58.7,84.2,0
Greg Little,OAK,0,0,0,0,0,0,0,0,0,34.4,37,32,470.60,554,413,1.9,3,1,0,0,0,58.3,67.4,47.3
Martavis Bryant,PIT,0,0,0,0,0,0,0,0,0,26.3,31,22,413.10,511,286,2.7,4,1,0,0,0,57.5,75.1,34.6
Brian Quick,STL,0,0,0,0,0,0,0,0,0,28,33,22,406.30,443,329,2.8,4,2,0,0,0,57.1,68.3,44.9
Eddie Royal,SD,1.5,3,0,6.5,13,0,0,0,0,39.5,45,32,470.00,612,370,1.6,3,0,0.5,1,0,56.3,71.2,37
Junior Hemingway,KC,0,0,0,0,0,0,0,0,0,29.3,33,27,380.80,412,356,2.8,3,2,0,0,0,54.6,59.2,47.6
Ace Sanders,JAC,2.5,5,0,10.5,21,0,0,0,0,43.3,47,41,442.50,549,386,1.5,2,1,0,0,0,54.3,66.9,44.6
Jacoby Jones,BAL,0,0,0,0,0,0,0,0,0,31.4,37,24,419.90,475,358,2,2,2,0,0,0,54,59.5,47.8
Mohamed Sanu,CIN,2.5,5,0,12,24,0,0,0,0,36,44,30,371.40,446,292,2.4,3,1,0,0,0,52.7,62.6,44.9
Paul Richardson,SEA,0,0,0,0,0,0,0,0,0,20.5,25,16,396.50,488,305,2,3,1,0,0,0,51.7,66.8,36.5
Cole Beasley,DAL,0,0,0,0,0,0,0,0,0,36,48,23,386.60,512,289,2.1,3,1,0,0,0,51.3,69.2,34.9
Marquess Wilson,CHI,0,0,0,0,0,0,0,0,0,23.7,38,0,342.90,522,0,2.6,4,0,0,0,0,49.9,76.2,0
Jason Avant,CAR,0,0,0,0,0,0,0,0,0,30.6,45,19,365.10,556,245,2.1,3,1,0.5,1,0,48.1,73.6,30.5
Kenbrell Thompkins,NE,0,0,0,0,0,0,0,0,0,25.9,39,15,368.10,538,201,1.9,3,0,0,0,0,48.1,71.8,20.1
Marlon Brown,BAL,0,0,0,0,0,0,0,0,0,29,43,10,359.30,554,121,2,4,0,0,0,0,47.9,73.4,12.1
Jerrel Jernigan,NYG,1.5,3,0,13,26,0,0,0,0,22.4,35,11,318.80,554,146,2.4,4,0,0,0,0,47.6,79.4,14.6
Darrius Heyward-Bey,PIT,0,0,0,0,0,0,0,0,0,28,35,21,425.00,554,296,1,1,1,0.5,1,0,47.5,61.4,33.6
Devin Street,DAL,0,0,0,0,0,0,0,0,0,23.5,26,21,342.50,374,311,2,2,2,0,0,0,46.3,49.4,43.1
Robert Meachem,NO,0,0,0,0,0,0,0,0,0,18,21,15,340.00,411,269,2,3,1,0,0,0,46,59.1,32.9
Jarvis Landry,MIA,0,0,0,0,0,0,0,0,0,27.1,36,8,351.20,476,104,1.9,3,0,0.5,1,0,45.5,59.6,10.4
Sidney Rice,SEA,0,0,0,0,0,0,0,0,0,21,33,0,296.60,436,0,2.3,3,0,0,0,0,43.2,61.6,0
John Brown,ARI,0,0,0,0,0,0,0,0,0,21.6,25,13,337.30,422,176,1.5,2,0,0,0,0,42.7,54.2,17.6
Marquise Goodwin,BUF,0,0,0,0,0,0,0,0,0,20.8,26,0,316.50,422,0,2,4,0,0.5,1,0,42.7,64.2,0
Austin Pettis,STL,0,0,0,0,0,0,0,0,0,26.3,34,0,288.50,378,0,2.2,3,0,0,0,0,42.1,55.8,0
Jermaine Kearse,SEA,0,0,0,0,0,0,0,0,0,20.2,32,0,304.20,470,0,1.6,2,0,0,0,0,40,59,0
Andre Holmes,OAK,0,0,0,0,0,0,0,0,0,19.6,27,15,275.20,411,176,2,3,1,0,0,0,39.5,59.1,29.6
A.J. Jenkins,KC,1.5,3,0,3,6,0,0,0,0,21.9,35,8,309.80,456,140,1.2,2,0,0,0,0,38.5,57.6,14
Earl Bennett,CLE,0,0,0,0,0,0,0,0,0,24.8,33,16.5,291.80,389,195,1.5,2,1,0,0,0,38.2,50.9,25.5
Stephen Hill,NYJ,0,0,0,0,0,0,0,0,0,20.5,28,0,282.10,413,0,1.6,2,0,0,0,0,37.8,53.3,0
Santana Moss,WAS,0,0,0,0,0,0,0,0,0,25.1,38,15,295.90,422,195,1.5,2,0,0.5,1,0,37.6,52.2,19.5
Stedman Bailey,STL,0,0,0,0,0,0,0,0,0,21.5,25,18,304.00,354,254,1,2,0,0,0,0,36.4,47.4,25.4
Vincent Brown,SD,0,0,0,0,0,0,0,0,0,21.4,36,0,272.10,432,0,1.4,2,0,0,0,0,35.6,55.2,0
Tiquan Underwood,CAR,0,0,0,0,0,0,0,0,0,17.3,22,0,265.90,367,0,1.4,3,0,0,0,0,35,49.2,0
Robert Herron,TB,0,0,0,0,0,0,0,0,0,19,25,13,286.50,433,140,1,1,1,0,0,0,34.7,49.3,20
Brandon Lloyd,SF,0,0,0,0,0,0,0,0,0,18.9,28,2,248.40,332,29,1.5,2,0,0,0,0,33.8,45.2,2.9
Keshawn Martin,HOU,0,0,0,0,0,0,0,0,0,19.9,21,18,270.30,311,244,1,1,1,0,0,0,33,37.1,30.4
Kris Durham,DET,0,0,0,0,0,0,0,0,0,20.3,37,0,258.10,475,0,1.2,3,0,0,0,0,33,65.5,0
Jalen Saunders,NYJ,0,0,0,0,0,0,0,0,0,18.5,26,8,237.50,334,104,1.5,2,0,0,0,0,32.8,45.4,10.4
Joseph Morgan,NO,0,0,0,0,0,0,0,0,0,12.1,20,0,216.80,361,0,1.8,3,0,0,0,0,32.5,54.1,0
Mike Brown,JAC,0,0,0,0,0,0,0,0,0,18.5,22,15,260.00,311,209,1,1,1,0,0,0,32,37.1,26.9
Kevin Ogletree,DET,0,0,0,0,0,0,0,0,0,19.5,26,13,274.50,366,183,0.8,1,0.5,0,0,0,32,42.6,21.3
Donte Moncrief,IND,0,0,0,0,0,0,0,0,0,14.9,26,4,242.50,422,58,1.1,2,0,0,0,0,31,54.2,5.8
Damian Williams,FA,0,0,0,0,0,0,0,0,0,18.9,25,8,247.80,335,112,1,2,0,0,0,0,30.8,45.5,17.2
Josh Huff,PHI,0,0,0,0,0,0,0,0,0,15,16,14,247.50,274,221,1,1,1,0,0,0,30.8,33.4,28.1
Arrelious Benn,PHI,0,0,0,0,0,0,0,0,0,18,24,12,258.00,344,172,0.8,1,0.5,0,0,0,30.3,40.4,20.2
Jarius Wright,MIN,0,0,0,0,0,0,0,0,0,16.1,22,6,233.10,345,76,1.1,2,0,0,0,0,30.1,46.5,7.6
Travis Benjamin,CLE,0,0,0,0,0,0,0,0,0,15.5,16,15,230.50,240,221,1.5,2,1,1,1,1,30.1,32.1,28
Cody Latimer,DEN,0,0,0,0,0,0,0,0,0,17.8,33,0,228.10,433,0,1.2,2,0,0,0,0,30,55.3,0
Mario Manningham,NYG,0,0,0,0,0,0,0,0,0,17.5,28,7,239.00,411,67,1,2,0,0,0,0,29.9,53.1,6.7
Chris Owusu,TB,0,0,0,0,0,0,0,0,0,22.6,38,11,246.50,407,113,0.9,2,0,0,0,0,29.9,52.7,11.3
DeVier Posey,HOU,0,0,0,0,0,0,0,0,0,20,33,0,243.40,377,0,0.9,2,0,0,0,0,29.7,49.5,0
Kyle Williams,KC,0,0,0,0,0,0,0,0,0,16.5,22,11,249.00,332,166,0.8,1,0.5,0,0,0,29.4,39.2,19.6
Jon Baldwin,SF,0,0,0,0,0,0,0,0,0,18,24,12,249.00,332,166,0.8,1,0.5,0,0,0,29.4,39.2,19.6
Leonard Hankerson,WAS,0,0,0,0,0,0,0,0,0,18.5,32,5,248.50,432,76,0.8,2,0,0,0,0,29.4,55.2,7.6
Jared Abbrederis,GB,0,0,0,0,0,0,0,0,0,17.3,23,11.5,290.30,387,194,0,0,0,0,0,0,29,38.7,19.4
Jeremy Ross,DET,0,0,0,0,0,0,0,0,0,13.5,22,5,221.50,378,65,1,2,0,0,0,0,28.2,49.8,6.5
Andre Caldwell,DEN,0,0,0,0,0,0,0,0,0,18,37,0,220.40,454,0,1,2,0,0,0,0,28,57.4,0
Jeff Janis,GB,0,0,0,0,0,0,0,0,0,13.5,18,9,233.30,311,156,0.8,1,0.5,0,0,0,27.8,37.1,18.6
T.J. Graham,BUF,1,1,1,11,11,11,0,0,0,15,22,10,219.90,299,164,0.8,2,0,0,0,0,27.6,41.9,16.4
Griff Whalen,IND,0,0,0,0,0,0,0,0,0,18.5,21,16,215.00,244,186,1,2,0,0,0,0,27.5,36.4,18.6
Aldrick Robinson,WAS,0,0,0,0,0,0,0,0,0,13.5,16,11,205.00,211,199,1,1,1,0,0,0,26.5,27.1,25.9
Da'Rick Rogers,IND,0,0,0,0,0,0,0,0,0,13.7,18,9,178.00,216,106,1.3,2,1,0,0,0,25.8,33.2,16.6
David Nelson,NYJ,0,0,0,0,0,0,0,0,0,17.6,35,0,206.60,411,0,0.8,2,0,0,0,0,25.2,53.1,0
Ryan Broyles,DET,0,0,0,0,0,0,0,0,0,15.4,32,0,204.40,442,0,0.8,2,0,0,0,0,24.9,56.2,0
Darius Johnson,ATL,0,0,0,0,0,0,0,0,0,18,19,17,218.50,221,216,0.5,1,0,0,0,0,24.9,28.1,21.6
Weston Dressler,KC,0,0,0,0,0,0,0,0,0,15.8,21,10.5,203.30,271,136,0.8,1,0.5,0,0,0,24.8,33.1,16.6
Kevin Norwood,SEA,0,0,0,0,0,0,0,0,0,15,21,9,217.00,311,123,0.5,1,0,0,0,0,24.7,37.1,12.3
Juron Criner,OAK,0,0,0,0,0,0,0,0,0,14,23,5,183.50,312,55,1,2,0,0,0,0,24.4,43.2,5.5
Louis Murphy,TB,0,0,0,0,0,0,0,0,0,13.9,22,0,198.00,322,0,0.8,2,0,0,0,0,24.3,44.2,0
Jaron Brown,ARI,0,0,0,0,0,0,0,0,0,12,16,8,182.30,243,122,0.8,1,0.5,0,0,0,22.7,30.3,15.2
Josh Morgan,CHI,0,0,0,0,0,0,0,0,0,15,33,0,190.50,413,0,0.6,1,0,0,0,0,22.7,47.3,0
Rishard Matthews,MIA,0,0,0,0,0,0,0,0,0,14.4,22,5,175.60,253,77,0.8,1,0,0,0,0,22.1,31.3,7.7
Jacoby Ford,NYJ,0,0,0,0,0,0,0,0,0,15.6,19,13,200.30,212,189,0.6,1,0,1,1,1,21.8,24.9,19.2
Brice Butler,OAK,0,0,0,0,0,0,0,0,0,10.5,14,7,165.80,221,111,0.8,1,0.5,0,0,0,21.1,28.1,14.1
Bruce Ellington,SF,0,0,0,0,0,0,0,0,0,12,15,9,180.50,244,117,0.5,1,0,0,0,0,21.1,30.4,11.7
Quinton Patton,SF,0,0,0,0,0,0,0,0,0,13.5,31,0,174.00,422,0,0.8,2,0,0.5,1,0,20.9,54.2,0
Drew Davis,ATL,0,0,0,0,0,0,0,0,0,9.4,15,6,159.90,272,77,0.8,2,0,0,0,0,20.5,39.2,7.7
Derek Moye,PIT,0,0,0,0,0,0,0,0,0,11.3,15,7.5,159.00,212,106,0.8,1,0.5,0,0,0,20.4,27.2,13.6
Tavarres King,CAR,0,0,0,0,0,0,0,0,0,11.5,15,8,167.00,232,102,0.5,1,0,0,0,0,19.7,29.2,10.2
Mike Thomas,HOU,0,0,0,0,0,0,0,0,0,12.8,17,8.5,143.30,191,96,0.8,1,0.5,0,0,0,18.8,25.1,12.6
Charles Johnson,CLE,0,0,0,0,0,0,0,0,0,11.8,20,5,163.40,281,64,0.4,1,0,0,0,0,18.6,34.1,6.4
Dwayne Harris,DAL,0,0,0,0,0,0,0,0,0,12,13,11,153.00,184,122,0.5,1,0,0,0,0,18.3,18.4,18.2
Josh Boyce,NE,0,0,0,0,0,0,0,0,0,10.5,15,0,136.50,187,0,0.8,1,0,0,0,0,18.2,24.7,0
Nick Toon,NO,0,0,0,0,0,0,0,0,0,9.3,14,7,150.80,243,88,0.5,1,0,0,0,0,18.1,30.3,8.8
Myles White,GB,0,0,0,0,0,0,0,0,0,10.6,15,4,137.90,241,51,0.6,1,0,0,0,0,17.5,30.1,5.1
Devin Hester,ATL,0,0,0,0,0,0,0,0,0,7,11,3,129.50,204,55,0.5,1,0,0,0,0,16,26.4,5.5
Dane Sanzenbacher,CIN,0,0,0,0,0,0,0,0,0,11,14,8,129.50,167,92,0.5,1,0,0,0,0,16,16.7,15.2
Greg Salas,NYJ,0,0,0,0,0,0,0,0,0,11.3,15,7.5,158.30,211,106,0,0,0,0,0,0,15.8,21.1,10.6
Alan Bonner,HOU,0,0,0,0,0,0,0,0,0,10.5,14,7,158.30,211,106,0,0,0,0,0,0,15.8,21.1,10.6
Justin Brown,PIT,0,0,0,0,0,0,0,0,0,9.8,13,6.5,98.30,131,66,0.8,1,0.5,0,0,0,14.3,19.1,9.6
Ryan Whalen,CIN,0,0,0,0,0,0,0,0,0,9,10,8,110.50,122,99,0.5,1,0,0,0,0,14.1,18.2,9.9
Lavelle Hawkins,TB,0,0,0,0,0,0,0,0,0,11.3,15,9,137.00,187,99,0,0,0,0,0,0,13.7,18.7,9.9
Kealoha Pilares,CAR,0,0,0,0,0,0,0,0,0,8.3,11,5.5,129.80,173,87,0,0,0,0,0,0,13,17.3,8.7
Seyi Ajirotutu,SD,0,0,0,0,0,0,0,0,0,6,8,4,84.00,112,56,0.8,1,0.5,0,0,0,12.9,17.2,8.6
Brittan Golden,ARI,0,0,0,0,0,0,0,0,0,7,8,6,124.50,135,114,0,0,0,0,0,0,12.5,13.5,11.4
Armon Binns,MIA,0,0,0,0,0,0,0,0,0,9,12,6,115.50,154,77,0,0,0,0,0,0,11.6,15.4,7.7
Damaris Johnson,PHI,0,0,0,0,0,0,0,0,0,9.4,18,3,111.30,212,34,0.4,1,0,1,1,1,11.4,25.2,1.4
Anthony Armstrong,CLE,0,0,0,0,0,0,0,0,0,4.5,6,3,64.50,86,43,0.8,1,0.5,0,0,0,11,14.6,7.3
Tandon Doss,JAC,0,0,0,0,0,0,0,0,0,8.3,11,5.5,108.80,145,73,0,0,0,0,0,0,10.9,14.5,7.3
