name,team_abbreviation,rush_attempts,rush_yards,rush_touchdowns,receive_receptions,receive_yards,receive_touchdowns,fumbles,fantasy_points
Miles Austin,CLE,0.0,0.0,0.0,37.4,493.8,2.8,0.5,65.2
Jerome Simpson,MIN,0.0,0.0,0.0,36.3,513.5,2.3,1.0,63.2
Brandon Gibson,MIA,0.0,0.0,0.0,39.5,472.6,2.4,0.0,61.5
Davante Adams,GB,0.0,0.0,0.0,28.1,416.7,3.6,1.0,61.3
Malcom Floyd,SD,0.0,0.0,0.0,29.9,423.4,2.9,0.5,58.7
Greg Little,OAK,0.0,0.0,0.0,34.4,470.6,1.9,0.0,58.3
Martavis Bryant,PIT,0.0,0.0,0.0,26.3,413.1,2.7,0.0,57.5
Brian Quick,STL,0.0,0.0,0.0,28.0,406.3,2.8,0.0,57.1
Eddie Royal,SD,1.5,6.5,0.0,39.5,470.0,1.6,0.5,56.3
Junior Hemingway,KC,0.0,0.0,0.0,29.3,380.8,2.8,0.0,54.6
Ace Sanders,JAC,2.5,10.5,0.0,43.3,442.5,1.5,0.0,54.3
Jacoby Jones,BAL,0.0,0.0,0.0,31.4,419.9,2.0,0.0,54.0
Mohamed Sanu,CIN,2.5,12.0,0.0,36.0,371.4,2.4,0.0,52.7
Paul Richardson,SEA,0.0,0.0,0.0,20.5,396.5,2.0,0.0,51.7
Cole Beasley,DAL,0.0,0.0,0.0,36.0,386.6,2.1,0.0,51.3
Marquess Wilson,CHI,0.0,0.0,0.0,23.7,342.9,2.6,0.0,49.9
Jason Avant,CAR,0.0,0.0,0.0,30.6,365.1,2.1,0.5,48.1
Kenbrell Thompkins,NE,0.0,0.0,0.0,25.9,368.1,1.9,0.0,48.1
Marlon Brown,BAL,0.0,0.0,0.0,29.0,359.3,2.0,0.0,47.9
Jerrel Jernigan,NYG,1.5,13.0,0.0,22.4,318.8,2.4,0.0,47.6
Darrius Heyward-Bey,PIT,0.0,0.0,0.0,28.0,425.0,1.0,0.5,47.5
Devin Street,DAL,0.0,0.0,0.0,23.5,342.5,2.0,0.0,46.3
Robert Meachem,NO,0.0,0.0,0.0,18.0,340.0,2.0,0.0,46.0
Jarvis Landry,MIA,0.0,0.0,0.0,27.1,351.2,1.9,0.5,45.5
Sidney Rice,SEA,0.0,0.0,0.0,21.0,296.6,2.3,0.0,43.2
John Brown,ARI,0.0,0.0,0.0,21.6,337.3,1.5,0.0,42.7
Marquise Goodwin,BUF,0.0,0.0,0.0,20.8,316.5,2.0,0.5,42.7
Austin Pettis,STL,0.0,0.0,0.0,26.3,288.5,2.2,0.0,42.1
Jermaine Kearse,SEA,0.0,0.0,0.0,20.2,304.2,1.6,0.0,40.0
Andre Holmes,OAK,0.0,0.0,0.0,19.6,275.2,2.0,0.0,39.5
A.J. Jenkins,KC,1.5,3.0,0.0,21.9,309.8,1.2,0.0,38.5
Earl Bennett,CLE,0.0,0.0,0.0,24.8,291.8,1.5,0.0,38.2
Stephen Hill,NYJ,0.0,0.0,0.0,20.5,282.1,1.6,0.0,37.8
Santana Moss,WAS,0.0,0.0,0.0,25.1,295.9,1.5,0.5,37.6
Stedman Bailey,STL,0.0,0.0,0.0,21.5,304.0,1.0,0.0,36.4
Vincent Brown,SD,0.0,0.0,0.0,21.4,272.1,1.4,0.0,35.6
Tiquan Underwood,CAR,0.0,0.0,0.0,17.3,265.9,1.4,0.0,35.0
Robert Herron,TB,0.0,0.0,0.0,19.0,286.5,1.0,0.0,34.7
Brandon Lloyd,SF,0.0,0.0,0.0,18.9,248.4,1.5,0.0,33.8
Keshawn Martin,HOU,0.0,0.0,0.0,19.9,270.3,1.0,0.0,33.0
Kris Durham,DET,0.0,0.0,0.0,20.3,258.1,1.2,0.0,33.0
Jalen Saunders,NYJ,0.0,0.0,0.0,18.5,237.5,1.5,0.0,32.8
Joseph Morgan,NO,0.0,0.0,0.0,12.1,216.8,1.8,0.0,32.5
Mike Brown,JAC,0.0,0.0,0.0,18.5,260.0,1.0,0.0,32.0
Kevin Ogletree,DET,0.0,0.0,0.0,19.5,274.5,0.8,0.0,32.0
Donte Moncrief,IND,0.0,0.0,0.0,14.9,242.5,1.1,0.0,31.0
Damian Williams,FA,0.0,0.0,0.0,18.9,247.8,1.0,0.0,30.8
Josh Huff,PHI,0.0,0.0,0.0,15.0,247.5,1.0,0.0,30.8
Arrelious Benn,PHI,0.0,0.0,0.0,18.0,258.0,0.8,0.0,30.3
Jarius Wright,MIN,0.0,0.0,0.0,16.1,233.1,1.1,0.0,30.1
Travis Benjamin,CLE,0.0,0.0,0.0,15.5,230.5,1.5,1.0,30.1
Cody Latimer,DEN,0.0,0.0,0.0,17.8,228.1,1.2,0.0,30.0
Mario Manningham,NYG,0.0,0.0,0.0,17.5,239.0,1.0,0.0,29.9
Chris Owusu,TB,0.0,0.0,0.0,22.6,246.5,0.9,0.0,29.9
DeVier Posey,HOU,0.0,0.0,0.0,20.0,243.4,0.9,0.0,29.7
Kyle Williams,KC,0.0,0.0,0.0,16.5,249.0,0.8,0.0,29.4
Jon Baldwin,SF,0.0,0.0,0.0,18.0,249.0,0.8,0.0,29.4
Leonard Hankerson,WAS,0.0,0.0,0.0,18.5,248.5,0.8,0.0,29.4
Jared Abbrederis,GB,0.0,0.0,0.0,17.3,290.3,0.0,0.0,29.0
Jeremy Ross,DET,0.0,0.0,0.0,13.5,221.5,1.0,0.0,28.2
Andre Caldwell,DEN,0.0,0.0,0.0,18.0,220.4,1.0,0.0,28.0
Jeff Janis,GB,0.0,0.0,0.0,13.5,233.3,0.8,0.0,27.8
T.J. Graham,BUF,1.0,11.0,0.0,15.0,219.9,0.8,0.0,27.6
Griff Whalen,IND,0.0,0.0,0.0,18.5,215.0,1.0,0.0,27.5
Aldrick Robinson,WAS,0.0,0.0,0.0,13.5,205.0,1.0,0.0,26.5
Da'Rick Rogers,IND,0.0,0.0,0.0,13.7,178.0,1.3,0.0,25.8
David Nelson,NYJ,0.0,0.0,0.0,17.6,206.6,0.8,0.0,25.2
Ryan Broyles,DET,0.0,0.0,0.0,15.4,204.4,0.8,0.0,24.9
Darius Johnson,ATL,0.0,0.0,0.0,18.0,218.5,0.5,0.0,24.9
Weston Dressler,KC,0.0,0.0,0.0,15.8,203.3,0.8,0.0,24.8
Kevin Norwood,SEA,0.0,0.0,0.0,15.0,217.0,0.5,0.0,24.7
Juron Criner,OAK,0.0,0.0,0.0,14.0,183.5,1.0,0.0,24.4
Louis Murphy,TB,0.0,0.0,0.0,13.9,198.0,0.8,0.0,24.3
Jaron Brown,ARI,0.0,0.0,0.0,12.0,182.3,0.8,0.0,22.7
Josh Morgan,CHI,0.0,0.0,0.0,15.0,190.5,0.6,0.0,22.7
Rishard Matthews,MIA,0.0,0.0,0.0,14.4,175.6,0.8,0.0,22.1
Jacoby Ford,NYJ,0.0,0.0,0.0,15.6,200.3,0.6,1.0,21.8
Brice Butler,OAK,0.0,0.0,0.0,10.5,165.8,0.8,0.0,21.1
Bruce Ellington,SF,0.0,0.0,0.0,12.0,180.5,0.5,0.0,21.1
Quinton Patton,SF,0.0,0.0,0.0,13.5,174.0,0.8,0.5,20.9
Drew Davis,ATL,0.0,0.0,0.0,9.4,159.9,0.8,0.0,20.5
Derek Moye,PIT,0.0,0.0,0.0,11.3,159.0,0.8,0.0,20.4
Tavarres King,CAR,0.0,0.0,0.0,11.5,167.0,0.5,0.0,19.7
Mike Thomas,HOU,0.0,0.0,0.0,12.8,143.3,0.8,0.0,18.8
Charles Johnson,CLE,0.0,0.0,0.0,11.8,163.4,0.4,0.0,18.6
Dwayne Harris,DAL,0.0,0.0,0.0,12.0,153.0,0.5,0.0,18.3
Josh Boyce,NE,0.0,0.0,0.0,10.5,136.5,0.8,0.0,18.2
Nick Toon,NO,0.0,0.0,0.0,9.3,150.8,0.5,0.0,18.1
Myles White,GB,0.0,0.0,0.0,10.6,137.9,0.6,0.0,17.5
Devin Hester,ATL,0.0,0.0,0.0,7.0,129.5,0.5,0.0,16.0
Dane Sanzenbacher,CIN,0.0,0.0,0.0,11.0,129.5,0.5,0.0,16.0
Greg Salas,NYJ,0.0,0.0,0.0,11.3,158.3,0.0,0.0,15.8
Alan Bonner,HOU,0.0,0.0,0.0,10.5,158.3,0.0,0.0,15.8
Justin Brown,PIT,0.0,0.0,0.0,9.8,98.3,0.8,0.0,14.3
Ryan Whalen,CIN,0.0,0.0,0.0,9.0,110.5,0.5,0.0,14.1
Lavelle Hawkins,TB,0.0,0.0,0.0,11.3,137.0,0.0,0.0,13.7
Kealoha Pilares,CAR,0.0,0.0,0.0,8.3,129.8,0.0,0.0,13.0
Seyi Ajirotutu,SD,0.0,0.0,0.0,6.0,84.0,0.8,0.0,12.9
Brittan Golden,ARI,0.0,0.0,0.0,7.0,124.5,0.0,0.0,12.5
Armon Binns,MIA,0.0,0.0,0.0,9.0,115.5,0.0,0.0,11.6
Damaris Johnson,PHI,0.0,0.0,0.0,9.4,111.3,0.4,1.0,11.4
Anthony Armstrong,CLE,0.0,0.0,0.0,4.5,64.5,0.8,0.0,11.0
Tandon Doss,JAC,0.0,0.0,0.0,8.3,108.8,0.0,0.0,10.9
Rodney Smith,MIN,0.0,0.0,0.0,6.8,99.8,0.0,0.0,10.0
Lestar Jean,MIN,0.0,0.0,0.0,6.0,92.3,0.0,0.0,9.2
Deonte Thompson,BAL,0.0,0.0,0.0,9.0,86.3,0.0,0.0,8.6
Ricardo Lockette,SEA,0.0,0.0,0.0,6.0,86.3,0.0,0.0,8.6
Clyde Gates,NYJ,0.0,0.0,0.0,8.3,84.0,0.0,0.0,8.4
Kevin Dorsey,GB,0.0,0.0,0.0,6.0,84.0,0.0,0.0,8.4
Naaman Roosevelt,DET,0.0,0.0,0.0,6.0,83.3,0.0,0.0,8.3
Josh Cooper,MIN,0.0,0.0,0.0,6.8,82.5,0.0,0.0,8.3
Chris Hogan,BUF,0.0,0.0,0.0,6.0,78.8,0.0,0.0,7.9
Michael Campanaro,BAL,0.0,0.0,0.0,6.0,73.5,0.0,0.0,7.4
,,0.0,0.0,0.0,6.0,72.8,0.0,0.0,7.3
Jeff Maehl,PHI,0.0,0.0,0.0,6.0,66.8,0.0,0.0,6.7
Ryan Grant,WAS,0.0,0.0,0.0,5.3,65.3,0.0,0.0,6.5
Terrence Toliver,CHI,0.0,0.0,0.0,5.3,65.3,0.0,0.0,6.5
Marvin McNutt,CAR,0.0,0.0,0.0,3.8,61.5,0.0,0.0,6.2
Michael Preston,TEN,0.0,0.0,0.0,5.5,60.5,0.0,0.0,6.1
Eric Weems,CHI,0.0,0.0,0.0,6.0,58.5,0.0,0.0,5.9
Andy Tanner,NO,0.0,0.0,0.0,3.8,57.0,0.0,0.0,5.7
Brenton Bersin,CAR,0.0,0.0,0.0,3.8,57.0,0.0,0.0,5.7
Tommy Streeter,TB,0.0,0.0,0.0,3.8,57.0,0.0,0.0,5.7
Kamar Aiken,BAL,0.0,0.0,0.0,3.8,54.8,0.0,0.0,5.5
Russell Shepard,TB,0.0,0.0,0.0,4.5,54.0,0.0,0.0,5.4
Tevin Reese,SD,0.0,0.0,0.0,3.8,49.5,0.0,0.0,5.0
Domenik Hixon,CHI,0.0,0.0,0.0,3.8,45.8,0.0,0.0,4.6
Brandon Tate,CIN,0.0,0.0,0.0,5.3,65.3,0.0,1.0,4.5
Brad Smith,PHI,0.0,0.0,0.0,3.0,40.5,0.0,0.0,4.1
Pat Edwards,DET,0.0,0.0,0.0,3.0,39.8,0.0,0.0,4.0
Eric Page,TB,0.0,0.0,0.0,3.0,51.0,0.0,0.8,3.6
Corey Fuller,DET,0.0,0.0,0.0,2.3,32.3,0.0,0.0,3.2
Kassim Osgood,SF,0.0,0.0,0.0,2.3,32.3,0.0,0.0,3.2
Marc Mariani,TEN,0.0,0.0,0.0,2.3,27.8,0.0,0.0,2.8
Justin Blackmon,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
