rank,name,team_abbreviation,position,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,receive_long,receive_yards_per_target,receive_yards_per_reception,fumbles,fumbles_lost,fantasy_points
119,Josh Morgan,WAS,WR,33,20,60.6,214,0,21,6.5,10.7,2,0,42.7
120,LaVon Brazill,IND,WR,27,12,44.4,161,2,29,6,13.4,1,0,40.1
121,Junior Hemingway,KC,WR,19,13,68.4,125,2,24,6.6,9.6,2,1,35.5
122,Andrew Hawkins,CIN,WR,18,12,66.7,199,0,50,11.1,16.6,1,0,32.2
123,Jaron Brown,ARI,WR,18,11,61.1,140,1,32,7.8,12.7,0,0,31
124,Damian Williams,TEN,WR,23,15,65.2,178,0,32,7.7,11.9,2,1,30.8
125,DeVier Posey,HOU,WR,25,15,60,155,0,42,6.2,10.3,0,0,30.5
126,Dwayne Harris,DAL,WR,14,9,64.3,80,2,24,5.7,8.9,2,1,27.6
127,Kyle Williams,SF,WR,27,12,44.4,113,0,16,4.2,9.4,2,0,25.6
128,Brandon Stokley,BAL,WR,21,13,61.9,115,0,18,5.5,8.8,0,0,24.5
129,Chris Owusu,TB,WR,20,13,65,114,0,20,5.7,8.8,0,0,24.4
130,Clyde Gates,NYJ,WR,24,12,50,122,0,34,5.1,10.2,0,0,24.2
131,Jacoby Ford,OAK,WR,24,13,54.2,99,0,22,4.1,7.6,4,1,22.4
132,Greg Salas,NYJ,WR,13,8,61.5,143,0,44,11,17.9,0,0,22.3
133,AJ Jenkins,KC,WR,17,8,47.1,130,0,48,7.6,16.2,0,0,21.6
134,Josh Boyce,NE,WR,19,9,47.4,121,0,30,6.4,13.4,0,0,21.1
135,Malcom Floyd,SD,WR,11,6,54.5,149,0,47,13.5,24.8,0,0,20.9
136,Jeremy Ross,GB,WR,12,6,50,67,1,19,5.6,11.2,2,1,20.7
137,Michael Preston,TEN,WR,7,5,71.4,37,2,10,5.3,7.4,0,0,20.7
138,Kenny Britt,TEN,WR,35,11,31.4,96,0,15,2.7,8.7,0,0,20.6
139,Deonte Thompson,BAL,WR,20,10,50,96,0,33,4.8,9.6,0,0,19.6
140,Brice Butler,OAK,WR,17,9,52.9,103,0,29,6.1,11.4,0,0,19.3
141,Domenik Hixon,CAR,WR,9,7,77.8,55,1,14,6.1,7.9,0,0,18.5
142,Chris Hogan,BUF,WR,17,10,58.8,83,0,16,4.9,8.3,0,0,18.3
143,Travis Benjamin,CLE,WR,13,5,38.5,105,0,39,8.1,21,2,1,18
144,Brittan Golden,ARI,WR,10,4,40,136,0,63,13.6,34,0,0,17.6
145,Mario Manningham,SF,WR,23,9,39.1,85,0,14,3.7,9.4,0,0,17.5
146,Jeff Maehl,PHI,WR,9,4,44.4,67,1,37,7.4,16.8,0,0,16.7
147,Ryan Broyles,DET,WR,14,8,57.1,85,0,22,6.1,10.6,0,0,16.5
148,M. White,GB,WR,12,9,75,66,0,15,5.5,7.3,0,0,15.6
149,Seyi Ajirotutu,SD,WR,4,3,75,64,1,26,16,21.3,0,0,15.4
150,Josh Cooper,CLE,WR,14,9,64.3,60,0,16,4.3,6.7,0,0,15
151,Stephen Burton,JAX,WR,13,8,61.5,76,0,22,5.8,9.5,0,0,14.7
152,Marlon Moore,SF,WR,15,7,46.7,62,0,13,4.1,8.9,0,0,14.1
153,Louis Murphy,NYG,WR,13,6,46.2,37,1,8,2.8,6.2,1,1,13.7
154,Ricardo Lockette,SEA,WR,7,5,71.4,82,0,33,11.7,16.4,0,0,13
155,Markus Wheaton,PIT,WR,13,6,46.2,64,0,21,4.9,10.7,0,0,12.4
156,Austin Collie,NE,WR,11,6,54.5,63,0,19,5.7,10.5,0,0,12.3
157,Dane Sanzenbacher,CIN,WR,8,6,75,61,0,23,7.6,10.2,0,0,12.1
158,Nick Toon,NO,WR,12,4,33.3,68,0,35,5.7,17,0,0,10.8
159,Derek Moye,PIT,WR,6,2,33.3,20,1,19,3.3,10,0,0,10
160,Joshua Cribbs,NYJ,WR,2,2,100,6,0,5,3,3,0,0,9.62
161,Patrick Edwards,DET,WR,11,5,45.5,46,0,11,4.2,9.2,0,0,9.6
162,Quinton Patton,SF,WR,5,3,60,34,0,29,6.8,11.3,0,0,9
163,Joe Webb,MIN,WR,11,5,45.5,33,0,15,3,6.6,0,0,8.3
164,Eric Page,TB,WR,9,4,44.4,68,0,30,7.6,17,3,2,8.2
165,Lestar Jean,HOU,WR,8,4,50,35,0,11,4.4,8.8,0,0,7.5
166,Nick Williams,WAS,WR,11,3,27.3,15,0,6,1.4,5,1,0,6.5
167,Juron Criner,OAK,WR,8,3,37.5,32,0,20,4,10.7,0,0,6.2
168,Jonathan Baldwin,SF,WR,9,3,33.3,28,0,15,3.1,9.3,0,0,5.8
169,Lamaar Thomas,JAX,WR,3,2,66.7,31,0,18,10.3,15.5,0,0,5.1
170,Brad Smith,PHI,WR,2,2,100,27,0,14,13.5,13.5,1,0,4.9
171,Jeremy Ebert,JAX,WR,8,3,37.5,18,0,8,2.2,6,0,0,4.8
172,Skye Dawson,TB,WR,7,2,28.6,12,0,9,1.7,6,1,0,4.7
173,Chad Hall,KC,WR,7,2,28.6,20,0,11,2.9,10,0,0,4
174,Marcus Easley,BUF,WR,5,2,40,13,0,9,2.6,6.5,0,0,3.3
175,Marquess Wilson,CHI,WR,3,2,66.7,13,0,10,4.3,6.5,0,0,3.3
176,Brian Tyms,CLE,WR,5,2,40,12,0,6,2.4,6,0,0,3.2
177,Percy Harvin,SEA,WR,1,1,100,17,0,17,17,17,0,0,2.7
178,Kassim Osgood,SF,WR,1,1,100,17,0,17,17,17,0,0,2.7
179,Tori Gurley,CLE,WR,3,1,33.3,15,0,15,5,15,0,0,2.5
180,Kevin Cone,ATL,WR,1,1,100,12,0,12,12,12,0,0,2.2
181,Armanti Edwards,CLE,WR,5,1,20,10,0,10,2,10,0,0,2
182,Eric Weems,CHI,WR,2,1,50,8,0,8,4,8,0,0,1.8
183,Ben Obomanu,NYJ,WR,1,1,100,8,0,8,8,8,0,0,1.8
184,Brandon Tate,CIN,WR,2,1,50,6,0,6,3,6,2,0,1.6
185,Damaris Johnson,PHI,WR,3,2,66.7,14,0,8,4.7,7,1,1,1.4
186,David Reed,IND,WR,3,1,33.3,2,0,2,0.7,2,0,0,1.2
187,Lavelle Hawkins,SD,WR,0,0,0,0,0,0,0,0,0,0,0
188,Andy Tanner,NO,WR,0,0,0,0,0,0,0,0,0,0,0
189,Matthew Slater,NE,WR,0,0,0,0,0,0,0,0,0,0,0
190,Brian Robiskie,ATL,WR,1,0,0,0,0,0,0,0,0,0,0
191,Micheal Spurlock,DET,WR,0,0,0,0,0,0,0,0,0,0,0
192,Stephen Williams,SEA,WR,4,0,0,0,0,0,0,0,0,0,0
193,Ryan Whalen,CIN,WR,0,0,0,0,0,0,0,0,0,0,0
194,Bryan Walters,SEA,WR,0,0,0,0,0,0,0,0,0,0,0
195,Marvin McNutt,CAR,WR,1,0,0,0,0,0,0,0,0,0,0
196,Josh Bellamy,WAS,WR,0,0,0,0,0,0,0,0,0,0,0
197,Joe Anderson,CHI,WR,1,0,0,0,0,0,0,0,0,0,0
198,Russell Shepard,TB,WR,0,0,0,0,0,0,0,0,0,0,0
199,Aaron Mellette,BAL,WR,0,0,0,0,0,0,0,0,0,0,0
200,Cordell Roberson,BUF,WR,0,0,0,0,0,0,0,0,0,0,0
201,Tavarres King,CAR,WR,0,0,0,0,0,0,0,0,0,0,0
202,Charles Johnson,CLE,WR,0,0,0,0,0,0,0,0,0,0,0
203,Chris Harper,SF,WR,0,0,0,0,0,0,0,0,0,0,0
204,Ryan Spadola,NYJ,WR,1,0,0,0,0,0,0,0,0,0,0
205,Rodney Smith,MIN,WR,0,0,0,0,0,0,0,0,0,0,0
206,Tobais Palmer,JAX,WR,0,0,0,0,0,0,0,0,0,0,0
207,Justin Veltung,STL,WR,0,0,0,0,0,0,0,0,0,0,0
208,Michael Campbell,NYJ,WR,2,0,0,0,0,0,0,0,0,0,0
209,J. Talley,NYG,WR,2,0,0,0,0,0,0,0,0,0,0
210,Rodney Austin,DET,WR,0,0,0,0,0,0,0,0,0,0,0
211,Lance Lewis,WAS,WR,0,0,0,0,0,0,0,0,0,0,0
212,BJ Cunningham,PHI,WR,0,0,0,0,0,0,0,0,0,0,0
213,Chris Williams,CHI,WR,0,0,0,0,0,0,0,0,0,0,0
214,Saalim Hakim,NYJ,WR,1,0,0,0,0,0,0,0,0,0,-0.3
215,Devin Hester,CHI,WR,0,0,0,0,0,0,0,0,5,1,-2
216,Devon Wylie,TEN,WR,0,0,0,0,0,0,0,0,2,1,-2
217,Trindon Holliday,DEN,WR,0,0,0,0,0,0,0,0,5,2,-3.3
