rank,name,team_abbreviation,position,rush_attempts,rush_yards,rush_yards_per_attempt,rush_touchdowns,receive_targets,receive_receptions,receive_completion_percent,receive_yards,receive_touchdowns,fumbles,fumbles_lost,fantasy_points
23,Rashad Jennings,OAK,RB,163,733,4.5,6,47,36,76.6,292,0,0,0,174.5
24,Darren Sproles,NO,RB,53,220,4.2,2,89,71,79.8,604,2,2,2,173.4
25,Andre Ellington,ARI,RB,118,652,5.5,3,57,39,68.4,371,1,1,0,165.3
26,DeAngelo Williams,CAR,RB,201,843,4.2,3,36,26,72.2,333,1,3,2,163.6
27,CJ Spiller,BUF,RB,201,927,4.6,2,41,34,82.9,197,0,4,1,156.4
28,Donald Brown,IND,RB,102,537,5.3,6,35,27,77.1,214,2,0,0,150.1
29,Steven Jackson,ATL,RB,156,542,3.5,6,49,33,67.3,191,1,0,0,148.3
30,Ben Tate,HOU,RB,181,771,4.3,4,49,34,69.4,140,0,5,2,145.1
31,Trent Richardson,IND,RB,188,563,3,3,52,35,67.3,316,1,2,1,144.9
32,Rashard Mendenhall,ARI,RB,217,687,3.2,8,21,18,85.7,134,0,4,3,144.1
33,Jacquizz Rodgers,ATL,RB,97,333,3.4,2,62,52,83.9,341,2,1,1,141.4
34,Bilal Powell,NYJ,RB,176,697,4,1,57,36,63.2,272,0,1,0,140.1
35,Shane Vereen,NE,RB,44,208,4.7,1,69,47,68.1,427,3,1,0,134.5
36,Stevan Ridley,NE,RB,178,773,4.3,7,12,10,83.3,62,0,4,4,127.5
37,Lamar Miller,MIA,RB,177,709,4,2,35,26,74.3,170,0,1,1,123.9
38,Mike Tolbert,CAR,FB,101,361,3.6,5,33,27,81.8,184,2,0,0,123.5
39,LeGarrette Blount,NE,RB,153,772,5,7,5,2,40.0,38,0,3,2,121
40,BenJarvus Green-Ellis,CIN,RB,220,756,3.4,7,8,4,50.0,22,0,2,2,119.8
41,Chris Ogbonnaya,CLE,RB,48,239,5,0,75,48,64.0,343,2,2,2,114.2
42,Marcel Reece,OAK,RB,46,218,4.7,2,54,32,59.3,331,2,0,0,111.78
43,Bobby Rainey,TB,RB,150,566,3.8,5,19,15,78.9,46,1,1,1,110.2
44,Montee Ball,DEN,RB,120,561,4.7,4,27,20,74.1,145,0,3,3,108.6
45,Arian Foster,HOU,RB,121,542,4.5,1,35,22,62.9,183,1,0,0,108.5
46,Roy Helu,WAS,RB,62,274,4.4,4,42,31,73.8,251,0,2,0,107.5
47,Chris Ivory,NYJ,RB,182,833,4.6,3,7,2,28.6,10,0,2,0,104.3
48,Darren McFadden,OAK,RB,114,379,3.3,5,25,17,68.0,108,0,1,1,98.34
49,Daniel Thomas,MIA,RB,109,406,3.7,4,17,15,88.2,63,2,0,0,97.9
50,Andre Brown,NYG,RB,139,492,3.5,3,29,20,69.0,103,0,3,3,93.5
51,James Starks,GB,RB,89,493,5.5,3,13,10,76.9,89,1,1,0,92.2
52,Jason Snelling,ATL,RB,44,164,3.7,1,34,29,85.3,216,3,0,0,91
53,Bernard Pierce,BAL,RB,152,436,2.9,2,25,20,80.0,104,0,0,0,86
54,Brandon Bolden,NE,RB,55,271,4.9,3,29,21,72.4,152,0,0,0,81.3
55,Jordan Todman,JAX,RB,76,256,3.4,2,26,14,53.8,116,1,0,0,69.2
56,Doug Martin,TB,RB,127,456,3.6,1,24,12,50.0,66,0,2,1,68.2
57,Brian Leonard,TB,RB,47,182,3.9,0,37,29,78.4,179,0,0,0,65.1
58,Knile Davis,KC,RB,70,242,3.5,4,15,11,73.3,75,0,3,1,64.7
59,Shonn Greene,TEN,RB,77,295,3.8,4,7,6,85.7,39,0,0,0,63.4
60,Bryce Brown,PHI,RB,75,314,4.2,2,13,8,61.5,84,0,0,0,61.8
61,Toby Gerhart,MIN,RB,36,283,7.9,2,19,13,68.4,88,0,1,1,60.1
62,Mark Ingram,NO,RB,78,386,4.9,1,11,7,63.6,68,0,0,0,58.4
63,Willis McGahee,CLE,RB,138,377,2.7,2,11,8,72.7,20,0,1,1,57.7
64,Peyton Hillis,TB,RB,73,247,3.4,2,21,13,61.9,96,0,2,1,57.3
65,Fozzy Whittaker,SD,RB,29,80,2.8,0,36,21,58.3,155,2,1,0,56.5
66,Kendall Hunter,SF,RB,78,358,4.6,3,4,2,50.0,13,0,1,1,55.1
67,Michael Bush,CHI,RB,63,197,3.1,3,8,4,50.0,48,1,0,0,52.5
68,Bruce Miller,SF,FB,7,13,1.9,0,36,25,69.4,243,0,1,0,50.6
69,Ronnie Hillman,DEN,RB,55,218,4,1,14,12,85.7,119,0,2,1,49.7
70,Brandon Jacobs,NYG,RB,58,238,4.1,4,7,2,28.6,13,0,1,1,49.1
71,Mike James,TB,RB,60,295,4.9,0,11,10,90.9,43,0,0,0,47.88
72,Daryl Richardson,STL,RB,69,215,3.1,0,18,14,77.8,121,0,0,0,47.6
73,Benny Cunningham,STL,RB,47,261,5.6,1,10,6,60.0,59,0,2,1,44
74,Edwin Baker,CLE,RB,43,171,4,2,9,8,88.9,57,0,0,0,42.8
75,Joseph Randle,DAL,RB,54,164,3,2,10,8,80.0,61,0,0,0,42.5
76,Ahmad Bradshaw,IND,RB,41,186,4.5,2,8,7,87.5,42,0,0,0,41.8
77,Darrel Young,WAS,FB,12,41,3.4,3,9,4,44.4,71,1,0,0,39.2
78,Matt Asiata,MIN,RB,44,166,3.8,3,8,5,62.5,13,0,1,1,38.9
79,Robert Turbin,SEA,RB,77,264,3.4,0,12,8,66.7,60,0,1,1,38.4
80,Chris Polk,PHI,RB,11,98,8.9,3,5,4,80.0,61,0,0,0,37.9
81,Anthony Sherman,KC,FB,2,3,1.5,0,24,18,75.0,155,1,1,1,37.8
82,Stanley Havili,IND,FB,7,7,1,0,21,18,85.7,128,1,0,0,37.5
83,Ronnie Brown,SD,RB,45,157,3.5,1,8,8,100.0,60,0,0,0,35.7
84,Da'Rel Scott,NYG,RB,20,73,3.6,0,19,11,57.9,102,1,0,0,34.5
85,Jonathan Dwyer,PIT,RB,49,197,4,0,11,8,72.7,64,0,0,0,34.1
86,Felix Jones,PIT,RB,48,184,3.8,0,13,9,69.2,63,0,1,1,31.7
87,Frank Summers,BUF,FB,12,46,3.8,1,8,7,87.5,79,1,0,0,31.5
88,Dennis Johnson,HOU,RB,49,183,3.7,0,12,8,66.7,46,0,0,0,30.9
89,Jed Collins,NO,FB,15,45,3,1,18,14,77.8,54,0,0,0,29.9
90,Antone Smith,ATL,RB,5,145,29,2,3,2,66.7,10,0,0,0,29.5
91,Jonathan Stewart,CAR,RB,48,180,3.8,0,7,7,100.0,44,0,1,0,29.4
92,John Kuhn,GB,FB,10,38,3.8,1,19,13,68.4,81,0,1,1,28.9
93,Khiry Robinson,NO,RB,54,224,4.1,1,0,0,nil,0,0,0,0,28.4
94,Jackie Battle,TEN,RB,36,142,3.9,1,5,4,80.0,36,0,0,0,27.8
95,Stepfan Taylor,ARI,RB,36,115,3.2,0,9,8,88.9,71,0,0,0,26.6
96,Justin Forsett,JAX,RB,6,31,5.2,0,16,15,93.8,82,0,1,0,26.3
97,Alfonso Smith,ARI,RB,18,54,3,1,13,10,76.9,68,0,2,1,26.2
98,Lance Dunbar,DAL,RB,30,150,5,0,7,7,100.0,59,0,1,1,25.9
99,Marcus Thigpen,MIA,RB,6,18,3,0,11,8,72.7,97,1,3,0,25.5
100,Jonathan Grimes,HOU,RB,21,73,3.5,1,6,6,100.0,76,0,1,1,24.9
101,Tommy Bohanon,NYJ,FB,17,62,3.6,0,16,11,68.8,69,0,0,0,24.1
102,Vonta Leach,BAL,FB,11,23,2.1,0,20,11,55.0,47,1,1,0,24
103,Anthony Dixon,SF,RB,28,56,2,2,3,3,100.0,30,0,0,0,23.6
104,Tashard Choice,IND,RB,46,170,3.7,0,9,5,55.6,15,0,0,0,23.5
105,Isaiah Pead,STL,RB,7,21,3,0,15,11,73.3,78,0,0,0,22.9
106,Johnathan Franklin,GB,RB,19,107,5.6,1,5,4,80.0,30,0,2,1,21.7
107,Derrick Coleman,SEA,RB,2,3,1.5,0,8,8,100.0,62,1,1,0,20.5
108,David Wilson,NYG,RB,44,146,3.3,1,6,2,33.3,8,0,2,2,19.4
109,Will Johnson,PIT,FB,0,0,0,0,11,8,72.7,41,1,0,0,18.1
110,James Develin,NE,RB,4,10,2.5,1,4,4,100.0,62,0,0,0,17.2
111,Erik Lorig,TB,FB,0,0,0,0,14,11,78.6,47,0,0,0,15.7
112,Theo Riddick,DET,RB,9,25,2.8,1,8,4,50.0,26,0,0,0,15.1
113,Will Ta'ufo'ou,JAX,FB,1,1,1,0,15,10,66.7,40,0,0,0,14.1
114,Cyrus Gray,KC,RB,9,24,2.7,0,10,7,70.0,46,0,0,0,14
115,Jamize Olawale,OAK,RB,3,6,2,0,11,7,63.6,63,0,0,0,13.9
116,Phillip Tanner,DAL,RB,9,12,1.3,1,4,3,75.0,33,0,1,0,13.5
117,Patrick DiMarco,ATL,FB,0,0,0,0,10,8,80.0,49,0,0,0,12.9
118,David Johnson,PIT,FB,0,0,0,0,6,4,66.7,70,0,0,0,11
119,Mike Goodson,NYJ,RB,7,61,8.7,0,3,2,66.7,19,0,0,0,10
120,Dan Herron,IND,RB,5,33,6.6,0,1,1,100.0,57,0,0,0,10
121,Jerome Felton,MIN,FB,0,0,0,0,8,6,75.0,37,0,0,0,9.7
122,Tony Fiammetta,CHI,FB,0,0,0,0,5,4,80.0,57,0,0,0,9.7
123,LaMichael James,SF,RB,12,59,4.9,0,3,2,66.7,16,0,2,0,9.5
124,Collin Mooney,TEN,FB,0,0,0,0,6,6,100.0,32,0,0,0,9.2
125,John Conner,NYG,FB,0,0,0,0,11,6,54.5,31,0,0,0,9.1
126,Jeremy Stewart,OAK,RB,2,2,1,1,2,2,100.0,6,0,0,0,8.8
127,Greg Jones,HOU,FB,2,2,1,0,11,5,45.5,34,0,0,0,8.6
128,Travaris Cadet,NO,RB,0,0,0,0,2,2,100.0,5,1,0,0,8.5
129,Michael Cox,NYG,RB,22,43,2,0,3,3,100.0,12,0,0,0,8.5
130,Christine Michael,SEA,RB,18,79,4.4,0,0,0,nil,0,0,0,0,7.9
131,MarQueis Gray,CLE,RB,6,43,7.2,0,9,2,22.2,8,0,0,0,7.1
132,Vick Ballard,IND,RB,13,63,4.8,0,2,1,50.0,-5,0,0,0,6.8
133,Michael Hill,TB,RB,9,23,2.6,0,2,2,100.0,23,0,0,0,6.6
134,Jeff Demps,TB,RB,1,14,14,0,3,3,100.0,21,0,0,0,6.5
135,Alex Green,NYJ,RB,11,35,3.2,0,2,2,100.0,8,0,0,0,6.3
136,Deji Karim,HOU,RB,12,51,4.2,0,2,1,50.0,-1,0,0,0,6
137,Dorin Dickerson,DET,FB,0,0,0,0,5,2,40.0,34,0,0,0,5.4
138,LaRod Stephens-Howling,PIT,RB,6,19,3.2,0,3,2,66.7,11,0,0,0,5
139,Bradie Ewing,ATL,FB,0,0,0,0,2,2,100.0,29,0,0,0,4.9
140,Isaac Redman,PIT,RB,11,13,1.2,0,5,4,80.0,14,0,2,1,4.7
141,Michael Robinson,SEA,FB,1,0,0,0,3,2,66.7,27,0,0,0,4.7
142,LeRon McClain,SD,FB,11,32,2.9,0,3,2,66.7,-7,0,0,0,4.5
143,Bernard Scott,BAL,RB,4,14,3.5,0,2,2,100.0,10,0,0,0,4.4
144,CJ Anderson,DEN,RB,7,38,5.4,0,1,0,0.0,0,0,0,0,3.8
145,Kenjon Barner,CAR,RB,6,7,1.2,0,3,2,66.7,7,0,1,0,3.4
146,Ray Graham,HOU,RB,4,8,2,0,3,1,33.3,12,0,0,0,3
147,Denard Robinson,JAX,RB,20,66,3.3,0,1,0,0.0,0,0,3,2,2.6
148,Joe Banyard,MIN,RB,0,0,0,0,1,1,100.0,11,0,0,0,2.1
149,Mike Gillislee,MIA,RB,6,21,3.5,0,0,0,nil,0,0,0,0,2.1
150,Zach Line,MIN,FB,0,0,0,0,3,1,33.3,8,0,0,0,1.8
151,Cedric Peerman,CIN,RB,8,17,2.1,0,0,0,nil,0,0,0,0,1.7
152,Robert Hughes,IND,FB,0,0,0,0,2,1,50.0,6,0,0,0,1.6
153,Ronnie Wingo,BUF,RB,1,4,4,0,1,1,100.0,2,0,0,0,1.6
154,Henry Hynoski,NYG,FB,0,0,0,0,2,1,50.0,5,0,0,0,1.5
155,Evan Royster,WAS,RB,2,0,0,0,1,1,100.0,3,0,0,0,1.3
156,Spencer Ware,SEA,FB,3,10,3.3,0,0,0,nil,0,0,0,0,1
157,Mikel Leshoure,DET,RB,2,9,4.5,0,0,0,nil,0,0,0,0,0.9
158,Cierre Wood,HOU,RB,3,9,3,0,0,0,nil,0,0,0,0,0.9
159,Josh Vaughan,ATL,RB,1,1,1,0,1,1,100.0,-5,0,0,0,0.6
160,Armond Smith,CAR,RB,4,5,1.2,0,0,0,nil,0,0,0,0,0.5
161,Richie Brockel,CAR,FB,1,1,1,0,1,1,100.0,12,0,1,1,0.3
162,Shaun Draughn,BAL,RB,4,2,0.5,0,0,0,nil,0,0,0,0,0.2
163,Leon Washington,TEN,RB,1,1,1,0,1,0,0.0,0,0,1,0,0.1
164,Spencer Larsen,TB,FB,0,0,0,0,0,0,nil,0,0,0,0,0
165,Montell Owens,DET,RB,0,0,0,0,0,0,nil,0,0,0,0,0
166,Quinn Johnson,TEN,FB,0,0,0,0,1,0,0.0,0,0,0,0,0
167,Kahlil Bell,GB,RB,0,0,0,0,0,0,nil,0,0,0,0,0
168,Will Tukuafu,SF,RB,0,0,0,0,0,0,nil,0,0,0,0,0
169,Owen Marecic,SF,FB,0,0,0,0,0,0,nil,0,0,0,0,0
170,Delone Carter,JAX,RB,0,0,0,0,0,0,nil,0,0,0,0,0
171,Ryan Williams,ARI,RB,0,0,0,0,0,0,nil,0,0,0,0,0
172,Evan Rodriguez,BUF,FB,0,0,0,0,1,0,0.0,0,0,0,0,0
173,Chris Rainey,IND,RB,0,0,0,0,1,0,0.0,0,0,2,0,0
174,Brad Smelley,HOU,FB,0,0,0,0,0,0,nil,0,0,0,0,0
175,Emil Igwenagu,PHI,RB,0,0,0,0,0,0,nil,0,0,0,0,0
176,Matthew Tucker,PHI,RB,0,0,0,0,0,0,nil,0,0,0,0,0
177,Kyle Juszczyk,BAL,FB,0,0,0,0,1,0,0.0,0,0,0,0,0
178,Rex Burkhead,CIN,RB,0,0,0,0,0,0,nil,0,0,0,0,0
179,Kerwynn Williams,IND,RB,0,0,0,0,0,0,nil,0,0,0,0,0
180,Jawan Jamison,WAS,RB,0,0,0,0,0,0,nil,0,0,0,0,0
181,Chris Thompson,WAS,RB,0,0,0,0,0,0,nil,0,0,0,0,0
182,Michael Ford,CHI,RB,0,0,0,0,0,0,nil,0,0,0,0,0
183,Lonnie Pryor,TB,RB,0,0,0,0,0,0,nil,0,0,0,0,0
184,Chase Reynolds,STL,RB,0,0,0,0,0,0,nil,0,0,0,0,0
185,Chad Spann,HOU,RB,0,0,0,0,0,0,nil,0,0,0,0,0
186,Toben Opurum,HOU,FB,0,0,0,0,0,0,nil,0,0,0,0,0
187,Chris McCoy,JAX,RB,0,0,0,0,0,0,nil,0,0,0,0,0
188,Darius Reynaud,TEN,RB,1,0,0,0,2,1,50.0,4,0,1,1,-0.6
189,Tyler Clutts,MIA,FB,0,0,0,0,2,1,50.0,4,0,1,1,-0.6
