rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_point_percent
49,Jacquizz Rodgers,ATL,RB,15,586,39.1,40.4,16.6,10.6,8.9,25.4,27.1,15.2
50,Brandon Bolden,NE,RB,12,421,35.1,22.5,13.1,6.9,5,18.1,20,14.3
51,Mike Tolbert,CAR,FB,16,684,42.8,58.2,14.8,4.8,3.9,18.7,19.6,14
52,Jordan Todman,JAX,RB,16,425,26.6,25,17.9,6.1,3.3,21.2,24,12.9
53,Roy Helu,WAS,RB,16,593,37.1,46.1,10.5,7.1,5.2,15.7,17.5,12.8
54,Chris Ogbonnaya,CLE,RB,16,705,44.1,47.1,6.8,10.6,6.8,13.6,17.4,9.4
55,Darrel Young,WAS,FB,13,402,30.9,19.8,3,2.2,1,4,5.2,8.7
56,Brian Leonard,TB,RB,16,472,29.5,28.1,10,7.8,6.1,16.1,17.8,7.6
57,Jackie Battle,TEN,RB,16,388,24.2,10.5,9.3,1.3,1,10.3,10.6,6.2
58,Frank Summers,BUF,FB,15,390,26,19.4,3.1,2.1,1.8,4.9,5.1,6.2
59,Anthony Dixon,SF,RB,16,372,23.2,8.1,7.5,0.8,0.8,8.3,8.3,5.6
60,Tashard Choice,IND,RB,15,337,22.5,11.5,13.6,2.7,1.5,15.1,16.3,5.3
61,Alfonso Smith,ARI,RB,16,360,22.5,12.1,5,3.6,2.8,7.8,8.6,4.4
62,Bruce Miller,SF,FB,14,614,43.9,59.3,1.1,5.9,4.1,5.2,7,4.2
63,Stanley Havili,IND,FB,13,512,39.4,30.7,1.4,4.1,3.5,4.9,5.5,3.9
64,John Kuhn,GB,FB,15,537,35.8,28.7,1.9,3.5,2.4,4.3,5.4,3
65,Anthony Sherman,KC,FB,16,683,42.7,35.8,0.3,3.5,2.6,2.9,3.8,2.9
66,James Develin,NE,RB,16,444,27.8,26.9,0.9,0.9,0.9,1.8,1.8,2.9
67,Tommy Bohanon,NYJ,FB,16,456,28.5,35.3,3.7,3.5,2.4,6.1,7.2,2.9
68,Jed Collins,NO,FB,16,563,35.2,39.2,2.7,3.2,2.5,5.2,5.9,2.8
69,Will Johnson,PIT,FB,16,371,23.2,16.3,0,3,2.2,2.2,3,2.7
70,Cyrus Gray,KC,RB,16,398,24.9,5.5,2.3,2.5,1.8,4,4.8,1.8
71,Tony Fiammetta,CHI,FB,16,343,21.4,20.8,0,1.5,1.2,1.2,1.5,1.7
72,Jamize Olawale,OAK,RB,16,517,32.3,17.6,0.6,2.1,1.4,1.9,2.7,1.4
73,Patrick DiMarco,ATL,FB,14,374,26.7,20.1,0,2.7,2.1,2.1,2.7,1.3
74,Jerome Felton,MIN,FB,13,362,27.8,35.7,0,2.2,1.7,1.7,2.2,1.1
75,Greg Jones,HOU,FB,16,448,28,29.3,0.4,2.5,1.1,1.6,2.9,0.9
76,Erik Lorig,TB,FB,15,613,40.9,37,0,2.3,1.8,1.8,2.3,0.8
77,Will Ta'ufo'ou,JAX,FB,16,519,32.4,29.4,0.2,2.9,1.9,2.1,3.1,0.8
78,Cedric Peerman,CIN,RB,16,351,21.9,2.9,2.3,0,0,2.3,2.3,0.6
79,Kyle Juszczyk,BAL,FB,16,377,23.6,0.4,0,0.3,0,0,0.3,0
80,Richie Brockel,CAR,FB,16,552,34.5,19.1,0.2,0.2,0.2,0.4,0.4,-0.2
