rank,name,team_abbreviation,position,snap_games_played,snap_snaps,snap_snaps_per_game,snap_percent,snap_rush_percent,snap_target_percent,snap_reception_percent,snap_touch_percent,snap_util_percent,snap_fantasy_point_percent
34,Leonard Hankerson,WAS,WR,10,390,39,52.6,0,12.8,7.7,7.7,12.8,14.4
35,Jarius Wright,MIN,WR,16,424,26.5,40.1,0,10.1,6.1,6.1,10.1,14.4
36,Michael Floyd,ARI,WR,16,934,58.4,85.8,0,11.9,7,7,11.9,14.3
37,Terrance Williams,DAL,WR,16,717,44.8,68,0.4,10.3,6.1,6.6,10.7,14.2
38,Rueben Randle,NYG,WR,16,673,42.1,56.3,0,11.6,6.1,6.1,11.6,14.1
39,Greg Jennings,MIN,WR,15,742,49.5,71.3,0,14.3,9.2,9.2,14.3,14
40,Riley Cooper,PHI,WR,16,982,61.4,88.8,0,8.5,4.8,4.8,8.5,14
41,Brian Hartline,MIA,WR,16,907,56.7,88.3,0,14.8,8.4,8.4,14.8,13.9
42,Emmanuel Sanders,PIT,WR,16,818,51.1,75.8,0.1,13.7,8.2,8.3,13.8,13.9
43,Aaron Dobson,NE,WR,12,547,45.6,45.7,0,13.2,6.8,6.8,13.2,13.9
44,Kenny Stills,NO,WR,16,690,43.1,61.2,0.4,7.2,4.6,5.1,7.7,13.8
45,Ted Ginn,CAR,WR,16,643,40.2,48.8,0.6,10.6,5.6,6.2,11.2,13.7
46,Mike Wallace,MIA,WR,16,951,59.4,92.6,0.3,14.8,7.7,8,15.1,13.2
47,Julian Edelman,NE,WR,16,1118,69.9,85.3,0.2,13.5,9.4,9.6,13.7,13.1
48,Danny Amendola,NE,WR,12,576,48,47.7,0.2,14.4,9.4,9.5,14.6,13
49,Tim Wright,TB,WR,16,668,41.8,58.7,0.1,11.4,8.1,8.2,11.5,13
50,Steve Smith,CAR,WR,15,774,51.6,74.8,0,14.2,8.3,8.3,14.2,12.7
51,Torrey Smith,BAL,WR,16,1098,68.6,96.7,0,12.5,5.9,5.9,12.5,12.7
52,Cecil Shorts,JAX,WR,13,763,58.7,81.8,0,16.1,8.7,8.7,16.1,12.6
53,Doug Baldwin,SEA,WR,16,862,53.9,74,0.2,8.5,5.8,6,8.7,12.5
54,Lance Moore,NO,WR,13,452,34.8,39.1,0,11.9,8.2,8.2,11.9,12.4
55,Nate Washington,TEN,WR,16,887,55.4,82.5,0,11.8,6.5,6.5,11.8,12.4
56,Kenbrell Thompkins,NE,WR,12,577,48.1,48,0,12,5.5,5.5,12,12.3
57,Jarrett Boykin,GB,WR,16,754,47.1,59.1,0,11,6.5,6.5,11,12.2
58,Harry Douglas,ATL,WR,16,948,59.2,86,0,13.9,9,9,13.9,12.1
59,Jerome Simpson,MIN,WR,16,657,41.1,61.8,0,15.2,7.3,7.3,15.2,12
60,Marlon Brown,BAL,WR,14,797,56.9,69.5,0.1,10.3,6.1,6.3,10.4,12
61,Marquise Goodwin,BUF,WR,12,385,32.1,27,0.8,8.3,4.4,5.2,9.1,11.9
62,Jeremy Kerley,NYJ,WR,12,600,50,53.9,0.7,12,7.2,8,12.8,11.8
63,Sidney Rice,SEA,WR,8,333,41.6,63.7,0,10.5,4.5,4.5,10.5,11.7
64,Dwayne Bowe,KC,WR,15,837,55.8,77.6,0,12.3,6.8,6.8,12.3,11.6
65,Tiquan Underwood,TB,WR,12,584,48.7,73.1,0,7.9,4.1,4.1,7.9,11.6
66,Griff Whalen,IND,WR,9,329,36.6,38.8,0,12.2,7.3,7.3,12.2,11.6
67,James Jones,GB,WR,14,849,60.6,75.5,0,11,6.9,6.9,11,11.5
68,Brian Quick,STL,WR,16,364,22.8,35.2,0,9.6,4.9,4.9,9.6,11.5
69,Steve Johnson,BUF,WR,12,702,58.5,60.4,0.1,14.4,7.4,7.5,14.5,11.3
70,Robert Meachem,NO,WR,15,390,26,34.5,0.5,7.7,4.1,4.6,8.2,11.3
71,Roddy White,ATL,WR,13,784,60.3,72.6,0,12.4,8,8,12.4,11.1
72,Andre Holmes,OAK,WR,10,448,44.8,51.9,0,11.6,5.6,5.6,11.6,10.9
73,Austin Pettis,STL,WR,16,586,36.6,57.7,0,10.8,6.5,6.5,10.8,10.9
74,Hakeem Nicks,NYG,WR,15,833,55.5,81.2,0,12.1,6.7,6.7,12.1,10.8
75,Aldrick Robinson,WAS,WR,16,456,28.5,35.6,0.7,10.1,3.9,4.6,10.7,10.5
76,Santonio Holmes,NYJ,WR,11,500,45.5,47.6,0,11.8,4.6,4.6,11.8,10.4
77,Brandon LaFell,CAR,WR,16,912,57,88.1,0.2,9.3,5.4,5.6,9.5,10.3
78,Nate Burleson,DET,WR,9,503,55.9,44.2,0.4,10.9,7.8,8.2,11.3,10.1
79,Donnie Avery,KC,WR,16,706,44.1,65.4,0.3,10.1,5.7,5.9,10.3,9.9
80,Andre Roberts,ARI,WR,16,606,37.9,55.8,0,12.5,7.1,7.1,12.5,9.7
81,Santana Moss,WAS,WR,16,584,36.5,48.2,0.5,13.5,7.2,7.7,14,9.6
82,David Nelson,NYJ,WR,12,571,47.6,74.7,0,10.5,6.3,6.3,10.5,9.5
83,Dexter McCluster,KC,WR,15,671,44.7,53.8,1.2,12.4,7.9,9.1,13.6,9.5
84,Mike Brown,JAX,WR,11,578,52.5,54.6,0,9.7,5.5,5.5,9.7,9.5
85,Mike Williams,TB,WR,6,363,60.5,73.9,0,11,6.1,6.1,11,9.4
86,Kevin Ogletree,TB,WR,16,424,26.5,34.2,0,10.6,5,5,10.6,9.2
87,Earl Bennett,CHI,WR,15,541,36.1,51.2,0,7.9,5.9,5.9,7.9,9.2
88,Jermaine Kearse,SEA,WR,16,622,38.9,46.4,0,6.1,3.5,3.5,6.1,9.2
89,Jacoby Jones,BAL,WR,12,638,53.2,48.3,0.3,10.5,5.8,6.1,10.8,9.1
90,Rishard Matthews,MIA,WR,16,634,39.6,50.6,0,10.6,6.5,6.5,10.6,9
91,DeAndre Hopkins,HOU,WR,16,995,62.2,88.8,0,9.1,5.2,5.2,9.1,9
92,Ace Sanders,JAX,WR,15,664,44.3,56.9,0.3,13.1,7.7,8.1,13.6,9
93,Davone Bess,CLE,WR,14,566,40.4,54.8,0,15.2,7.4,7.4,15.2,8.5
94,Kerry Taylor,JAX,WR,10,347,34.7,38.6,0,9.8,6.3,6.3,9.8,8.4
95,Robert Woods,BUF,WR,14,955,68.2,78.4,0.2,8.9,4.2,4.4,9.1,8.4
96,LaVon Brazill,IND,WR,10,346,34.6,32.4,0,7.8,3.5,3.5,7.8,8.1
97,Andre Caldwell,DEN,WR,16,489,30.6,21.5,0.2,5.9,3.3,3.5,6.1,8
98,Mohamed Sanu,CIN,WR,16,751,46.9,66.3,0.5,10.3,6.3,6.9,10.9,7.7
99,Stedman Bailey,STL,WR,16,425,26.6,18.7,0.5,5.9,4,4.5,6.4,7.5
100,Chris Givens,STL,WR,16,779,48.7,77.6,0.4,10.7,4.4,4.7,11,7.2
101,Tandon Doss,BAL,WR,15,393,26.2,28.8,0,9.2,4.8,4.8,9.2,7.1
102,Jason Avant,PHI,WR,16,794,49.6,71.5,0,9.6,4.8,4.8,9.6,6.7
103,Keshawn Martin,HOU,WR,16,532,33.2,33.3,0,7.5,4.1,4.1,7.5,6.6
104,Stephen Hill,NYJ,WR,12,594,49.5,70.7,0,9.9,4,4,9.9,6.4
105,Darrius Heyward-Bey,IND,WR,16,632,39.5,56.4,0.5,10.1,4.6,5.1,10.6,6.3
106,Drew Davis,ATL,WR,16,541,33.8,31.7,0,3.1,2.2,2.2,3.1,6.3
107,Greg Little,CLE,WR,16,967,60.4,85,0,10.2,4.2,4.2,10.2,6
108,Kris Durham,DET,WR,16,986,61.6,83.8,0,8.6,3.9,3.9,8.6,6
109,Darius Johnson,ATL,WR,10,417,41.7,54.6,0,10.3,5.3,5.3,10.3,6
110,Vincent Brown,SD,WR,16,918,57.4,82.6,0,7.5,4.5,4.5,7.5,5.8
111,TJ Graham,BUF,WR,16,825,51.6,70.9,0.5,7,2.8,3.3,7.5,5.8
112,Dwayne Harris,DAL,WR,13,353,27.2,14.7,0.3,4,2.5,2.8,4.2,5.4
113,Jaron Brown,ARI,WR,16,389,24.3,14.3,0,4.6,2.8,2.8,4.6,5.1
114,Josh Morgan,WAS,WR,14,494,35.3,33.7,0.4,6.7,4,4.5,7.1,4.7
115,Miles Austin,DAL,WR,11,527,47.9,52.6,0,9.3,4.6,4.6,9.3,4.6
116,Jeremy Ross,GB,WR,13,344,26.5,19.8,0.6,3.5,1.7,2.3,4.1,4.4
117,Kyle Williams,SF,WR,10,379,37.9,50.5,0.5,7.1,3.2,3.7,7.7,3.7
118,Junior Hemingway,KC,WR,16,614,38.4,28.9,0,3.1,2.1,2.1,3.1,3.6
119,Jacoby Ford,OAK,WR,14,353,25.2,26.8,1.4,6.8,3.7,5.1,8.2,2.5
120,Chris Hogan,BUF,WR,16,427,26.7,16.9,0,4,2.3,2.3,4,1.9
121,Joe Webb,MIN,WR,16,328,20.5,18,0,3.4,1.5,1.5,3.4,0.9
122,Eric Weems,CHI,WR,16,332,20.8,2.3,0,0.6,0.3,0.3,0.6,0.3
123,Marcus Easley,BUF,WR,16,406,25.4,5.3,0,1.2,0.5,0.5,1.2,0.2
